#  WAVELENGTH	        FLUX	
#  (ANGSTROM)	(ERG/CM2/S/A)	
############	############	
412.48931023824  1.04601E-24 
420.78034537403  4.43888E-24 
429.23803031605  1.77978E-23 
437.8657147254  1.10155E-22 
446.66681559138  5.32162E-22 
455.64481858477  2.06454E-21 
469.4513122327  8.73149E-21 
478.88728360858  3.46383E-20 
488.51291800911  1.29491E-19 
498.3320276611  4.57246E-19 
503.31534793771  1.26228E-18 
508.34850141708   2.8988E-18 
518.56630629557  7.27896E-18 
528.98948905211  2.22109E-17 
539.62217778206  6.37392E-17 
545.01839955988  1.78178E-16 
555.97326939103  4.75705E-16 
567.14833210579  1.22319E-15 
578.54801358112  3.00185E-15 
584.33349371693  7.28622E-15 
596.07859694064  1.69414E-14 
608.05977673914  3.82673E-14 
614.14037450653  8.39194E-14 
626.48459603412   1.7913E-13 
639.0769364144  3.72636E-13 
645.46770577855  7.56928E-13 
651.92238283633  1.31153E-12 
658.44160666469  2.09405E-12 
671.67628295866  4.01905E-12 
678.39304578824  7.55339E-12 
692.02874600859  1.39165E-11 
698.94903346867  2.50555E-11 
712.99790904139  4.71897E-11 
720.12788813181  8.21326E-11 
734.60245868325  1.33328E-10 
741.94848327009  2.24867E-10 
749.36796810279  3.73673E-10 
764.43026426165  6.11936E-10 
772.07456690427  9.88014E-10 
779.79531257331   1.57478E-9 
787.59326569905   2.45348E-9 
803.4238903396   3.82757E-9 
811.45812924299   5.88837E-9 
819.57271053542    8.9286E-9 
827.76843764078   1.33866E-8 
844.40658323736   1.98578E-8 
852.85064906973   2.91495E-8 
861.37915556043   4.23619E-8 
869.99294711603   6.07835E-8 
878.69287658719   8.69116E-8 
887.47980535306   1.22826E-7 
896.3546034066   1.71179E-7 
914.37133093507  0.000150598 
923.51504424442  0.000455972 
932.75019468686  0.000637089 
942.07769663373  0.000893286 
951.49847360007   0.00130183 
961.01345833607   0.00180322 
970.62359291943   0.00241654 
980.32982884862    0.0032696 
990.13312713711   0.00429615 
1000.0344584085   0.00600925 
1010.0348029926    0.0079853 
1020.1351510225    0.0102295 
1030.3365025327    0.0136938 
1040.639867558    0.0180337 
1051.0462662336    0.0234485 
1061.556728896    0.0297565 
1072.1722961849    0.0385623 
1082.8940191468    0.0494553 
1093.7229593382    0.0619032 
1104.6601889316      0.45389 
1115.7067908209      1.08561 
1126.8638587291      1.54503 
1138.1324973164      1.99272 
1149.5138222896      2.22151 
1161.0089605125       3.0536 
1172.6190501176      3.50499 
1184.3452406188     2.724655 
1196.188693025      1.40148 
1208.1505799552     0.512363 
1220.2320857548      1.76756 
1232.4344066123      4.72215 
1244.7587506785       19.146 
1257.2063381852      28.5192 
1269.7784015671      57.1437 
1282.4761855828     115.8964 
1295.3009474386      96.2783 
1308.253956913       203.97 
1321.3364964821       272.78 
1334.5498614469     373.4815 
1347.8953600614      476.775 
1361.374313662      545.131 
1374.9880567986     675.8805 
1388.7379373666      891.385 
1402.6253167403     1051.995 
1416.6515699077      1279.95 
1430.8180856068 1421.1464705882 
1445.1262664628 1924.1223076923 
1459.5775291275      2081.45 
1474.1733044187     2568.045 
1488.9150374629      3269.84 
1503.8041878376 3784.3522727273 
1518.8422297159      4347.02 
1534.0306520131     9923.365 
1549.3709585332      11992.8 
1564.8646681186     13785.35 
1580.5133147997      26701.1 
1596.3184479477      27540.8 
1612.2816324272      23725.3 
1628.4044487515      25799.6 
1644.688493239     25852.15 
1661.1353781714 28085.840909091 
1677.7467319531       118891 
1694.5241992726     169248.5 
1711.4694412654       359458 
1728.584135678       523325 
1745.8699770348       703121 
1763.3286768051     684895.5 
1780.9619635732     868395.5 
1798.7715832089       908204 
1816.759299041       798959 
1834.9268920314     739541.5 
1853.2761609517      1074072 
1871.8089225613      1108590 
1890.5270117869      1282980 
1909.4322819047      1166225 
1928.5266047238    1077981.5 
1947.811870771 1794394.5454545 
1967.2899894787 1842549.4117647 
1986.9628893735 1746494.2857143 
2006.8325182673      1364565 
2026.9008434499      1918800 
2047.1698518844      1535625 
2067.6415504033    2427078.5 
2088.3179659073      2277655 
2109.2011455664      2275755 
2130.293157022      1920210 
2151.5960885923      2114235 
2173.1120494782      2098030 
2194.843169973 2230756.6666667 
2216.7916016727      2095880 
2238.9595176894      1902820 
2261.3491128663      1791965 
2283.962603995      2210500 
2306.8022300349      1900975 
2329.8702523353       727079 
2353.1689548586 908157.66666667 
2376.7006444072       522012 
2400.4676508513     799685.5 
2424.4723273598      2282950 
2448.7170506334      2364790 
2473.2042211397 2119683.3333333 
2497.9362633511 2550482.173913 
2522.9156259846 1806884.0740741 
2548.1447822445      2068965 
2573.6262300669 1712046.6666667 
2599.3624923676      1163210 
2625.3561172913      3243845 
2651.6096784642 3776996.6666667 
2678.1257752488      3549665 
2704.9070330013 3192803.3333333 
2731.9561033313      2063490 
2759.2756643647 2366766.6666667 
2786.8684210083       740777 
2814.7371052184 3396816.6666667 
2842.8844762706      3826330 
2871.3133210333      4290780 
2900.0264542436      5342570 
2929.026718786      4908160 
2958.3169859739      5505600 
2987.9001558336      5808420 
3017.779157392      6002050 
3047.9569489659      6021635 
3078.4365184556      6498030 
3109.2208836401      6179940 
3140.3130924765      6563505 
3171.7162234013      5937450 
3203.4333856353      6227945 
3235.4677194916      6616900 
3267.8223966866      6982060 
3300.5006206534      7205990 
3333.50562686      6981060 
3366.8406831286      6969620 
3400.5090899598      7558785 
3434.5141808594      7642550 
3468.859322668      7440445 
3503.5479158947      7862550 
3538.5833950537      8073995 
3573.9692290042      7904900 
3609.7089212942      8086152 
3645.8060105072      8511750 
3682.2640706123     11239370 
3719.0867113184     23956900 
3756.2775784316     31817850 
3793.8403542159     34513300 
3831.778757758     39105050 
3870.0965453356     30517700 
3908.797510789     26738050 
3947.8854858969     24607300 
3987.3643407558     38016400 
4027.2379841634     38050100 
4067.510364005     37427850 
4108.1854676451     34286800 
4149.2673223215 37255933.333333 
4190.7599955447     35902100 
4232.6675955002     35452000 
4274.9942714552     34191000 
4317.7442141697     30461400 
4360.9216563114     34420700 
4404.5308728746     32879900 
4448.5761816033 33157333.333333 
4493.0619434193     33097650 
4537.9925628535     32308450 
4583.3724884821     32031300 
4629.2062133669 31871333.333333 
4675.4982755006     30444900 
4722.2532582556     31134500 
4769.4757908381 30292633.333333 
4817.1705487465     28254600 
4865.342254234     26330900 
4913.9956767763     27883950 
4963.1356335441     26965900 
5012.7669898795     26441000 
5062.8946597783     26359800 
5113.5236063761     24998300 
5164.6588424398 24154833.333333 
5216.3054308642     24099350 
5268.4684851729 23238466.666667 
5321.1531700246 23089866.666667 
5374.3647017249     22548350 
5428.1083487421     22373900 
5482.3894322295     21901700 
5537.2133265518 21527466.666667 
5592.5854598173     21217100 
5648.5113144155 20617866.666667 
5704.9964275597     20396400 
5762.0463918353     19895800 
5819.6668557536 19437033.333333 
5877.8635243112 18828366.666667 
5936.6421595543     18460800 
5996.0085811498 17948433.333333 
6055.9686669613 17541666.666667 
6116.5283536309 16798166.666667 
6177.6936371672 16697566.666667 
6239.4705735389     16159200 
6301.8652792743 15808133.333333 
6364.883932067 15468833.333333 
6428.5327713877     14985775 
6492.8180991016 14342766.666667 
6557.7462800926 13041133.333333 
