#  WAVELENGTH	        FLUX	
#  (ANGSTROM)	(ERG/CM2/S/A)	
############	############	
334.70627057326  1.40477E-23 
344.8482052779  2.08473E-22 
355.29745074603  1.53951E-21 
362.43892950602  1.01843E-20 
373.42119150899  6.13109E-20 
384.7362270329  4.07115E-19 
392.46942519626   2.4486E-18 
404.36164124913  1.34392E-17 
412.48931023824   5.7856E-17 
420.78034537403  2.00616E-16 
429.23803031605  6.63099E-16 
437.8657147254  3.18886E-15 
446.66681559138  1.24083E-14 
455.64481858477  3.99965E-14 
469.4513122327  1.39015E-13 
478.88728360858   4.5775E-13 
488.51291800911  1.43286E-12 
498.3320276611  4.27633E-12 
503.31534793771   8.2323E-12 
508.34850141708  1.54145E-11 
518.56630629557  3.43277E-11 
528.98948905211  9.01818E-11 
539.62217778206   2.2795E-10 
545.01839955988  5.56751E-10 
555.97326939103   1.31447E-9 
567.14833210579   3.00689E-9 
578.54801358112   6.67128E-9 
584.33349371693   1.44036E-8 
596.07859694064   3.02515E-8 
608.05977673914   6.19302E-8 
614.14037450653   1.23731E-7 
626.48459603412   2.41519E-7 
639.0769364144   4.61165E-7 
645.46770577855   8.62209E-7 
651.92238283633   1.40185E-6 
658.44160666469   2.12327E-6 
671.67628295866   3.78173E-6 
678.39304578824   6.61594E-6 
692.02874600859   1.13778E-5 
698.94903346867   1.92494E-5 
712.99790904139   3.37102E-5 
720.12788813181   5.52278E-5 
734.60245868325   8.50706E-5 
741.94848327009  0.000135698 
749.36796810279   0.00021361 
764.43026426165  0.000332008 
772.07456690427  0.000509755 
779.79531257331  0.000773542 
787.59326569905   0.00116066 
803.4238903396   0.00172278 
811.45812924299   0.00253055 
819.57271053542   0.00367992 
827.76843764078    0.0052997 
844.40658323736   0.00756179 
852.85064906973    0.0106919 
861.37915556043    0.0149882 
869.99294711603    0.0208351 
878.69287658719    0.0287291 
887.47980535306    0.0393076 
896.3546034066    0.0533753 
914.37133093507      1.87365 
923.51504424442      13.3248 
932.75019468686      20.2865 
942.07769663373      31.6929 
951.49847360007       48.197 
961.01345833607      54.9586 
970.62359291943      39.4272 
980.32982884862      97.4652 
990.13312713711      109.968 
1000.0344584085      130.319 
1010.0348029926      106.207 
1020.1351510225      106.705 
1030.3365025327      167.189 
1040.639867558      284.587 
1051.0462662336      365.621 
1061.556728896      425.316 
1072.1722961849      518.401 
1082.8940191468      605.182 
1093.7229593382      675.462 
1104.6601889316     19600.82 
1115.7067908209      31817.3 
1126.8638587291      21118.1 
1138.1324973164      9564.07 
1149.5138222896      3964.91 
1161.0089605125      2236.63 
1172.6190501176      1809.01 
1184.3452406188   118573.941 
1196.188693025      487.717 
1208.1505799552       121.02 
1220.2320857548      546.534 
1232.4344066123      1416.92 
1244.7587506785      2453.58 
1257.2063381852      5605.43 
1269.7784015671      43533.2 
1282.4761855828       317674 
1295.3009474386       338145 
1308.253956913       960418 
1321.3364964821      1426170 
1334.5498614469      2164510 
1347.8953600614      2924960 
1361.374313662      3058360 
1374.9880567986      3874085 
1388.7379373666      4740830 
1402.6253167403      5606315 
1416.6515699077      6559040 
1430.8180856068 6775100.5882353 
1445.1262664628 8509734.6153846 
1459.5775291275      8390050 
1474.1733044187      8924715 
1488.9150374629     10294700 
1503.8041878376 10858368.181818 
1518.8422297159     11068800 
1534.0306520131     11827700 
1549.3709585332     11940000 
1564.8646681186     11800350 
1580.5133147997     14051900 
1596.3184479477     13946000 
1612.2816324272     13605750 
1628.4044487515     14034000 
1644.688493239     13556000 
1661.1353781714 13552640.909091 
1677.7467319531     15931800 
1694.5241992726     14960350 
