#  WAVELENGTH	        FLUX	
#  (ANGSTROM)	(ERG/CM2/S/A)	
############	############	
334.70627057326  4.98894E-24 
344.8482052779  4.52279E-23 
355.29745074603  2.93926E-22 
362.43892950602   1.7362E-21 
373.42119150899  9.36087E-21 
384.7362270329  5.52038E-20 
392.46942519626  2.95734E-19 
404.36164124913    1.451E-18 
412.48931023824  5.66428E-18 
420.78034537403  1.80348E-17 
429.23803031605  5.48389E-17 
437.8657147254  2.35862E-16 
446.66681559138  8.31229E-16 
455.64481858477   2.4564E-15 
469.4513122327    7.772E-15 
478.88728360858  2.33478E-14 
488.51291800911  6.68465E-14 
498.3320276611  1.82714E-13 
503.31534793771  4.33134E-13 
508.34850141708  8.61421E-13 
518.56630629557  1.79156E-12 
528.98948905211  4.35715E-12 
539.62217778206  1.00386E-11 
545.01839955988  2.27283E-11 
555.97326939103  4.95035E-11 
567.14833210579  1.04583E-10 
578.54801358112   2.1214E-10 
584.33349371693  4.28961E-10 
596.07859694064  8.35306E-10 
608.05977673914   1.59025E-9 
614.14037450653   2.95416E-9 
626.48459603412   5.37036E-9 
639.0769364144   9.56173E-9 
645.46770577855   1.67045E-8 
651.92238283633    2.5739E-8 
658.44160666469   3.71452E-8 
671.67628295866   6.20142E-8 
678.39304578824   1.01797E-7 
692.02874600859   1.64411E-7 
698.94903346867   2.59984E-7 
712.99790904139   4.27828E-7 
720.12788813181    6.5999E-7 
734.60245868325   9.63749E-7 
741.94848327009   1.44902E-6 
749.36796810279   2.15361E-6 
764.43026426165    3.1641E-6 
772.07456690427   4.59567E-6 
779.79531257331   6.61054E-6 
787.59326569905   9.29213E-6 
803.4238903396   1.31496E-5 
811.45812924299   1.84133E-5 
819.57271053542   2.54358E-5 
827.76843764078   3.48182E-5 
844.40658323736   4.72596E-5 
852.85064906973   6.36091E-5 
861.37915556043   8.49252E-5 
869.99294711603  0.000112021 
878.69287658719  0.000147883 
887.47980535306  0.000193095 
896.3546034066  0.000248892 
914.37133093507     0.109628 
923.51504424442     0.320586 
932.75019468686     0.419083 
942.07769663373     0.554997 
951.49847360007     0.754017 
961.01345833607     0.975459 
970.62359291943      1.21556 
980.32982884862      1.55507 
990.13312713711      1.90354 
1000.0344584085      2.50363 
1010.0348029926      3.13253 
1020.1351510225      3.74786 
1030.3365025327      4.78463 
1040.639867558      5.92096 
1051.0462662336      7.27653 
1061.556728896       8.7853 
1072.1722961849      10.8143 
1082.8940191468      13.1859 
1093.7229593382      15.7384 
1104.6601889316      84.8136 
1115.7067908209      183.438 
1126.8638587291      255.889 
1138.1324973164      320.199 
1149.5138222896      352.832 
1161.0089605125      477.318 
1172.6190501176      564.812 
1184.3452406188      482.567 
1196.188693025      389.125 
1208.1505799552      110.223 
1220.2320857548      451.212 
1232.4344066123      945.318 
1244.7587506785       3719.3 
1257.2063381852      5017.81 
1269.7784015671      8045.26 
1282.4761855828      12650.9 
1295.3009474386      11206.2 
1308.253956913      17355.2 
1321.3364964821      20429.7 
1334.5498614469     25002.05 
1347.8953600614      28162.1 
1361.374313662        30810 
1374.9880567986      34095.4 
1388.7379373666      40075.1 
1402.6253167403     45520.95 
1416.6515699077      52126.7 
1430.8180856068 56307.082352941 
1445.1262664628 71765.746153846 
1459.5775291275      76224.6 
1474.1733044187      88819.8 
1488.9150374629       107304 
1503.8041878376 115335.04545455 
1518.8422297159       107766 
1534.0306520131     218001.5 
1549.3709585332       290802 
1564.8646681186     348135.5 
1580.5133147997       603361 
1596.3184479477       657604 
1612.2816324272       712566 
1628.4044487515      1021440 
1644.688493239      1471159 
1661.1353781714      2365473 
1677.7467319531      5037620 
1694.5241992726      4587095 
1711.4694412654      9237010 
1728.584135678     12109600 
