#  WAVELENGTH	        FLUX	
#  (ANGSTROM)	(ERG/CM2/S/A)	
############	############	
355.29745074603  1.89558E-23 
362.43892950602  1.74351E-22 
373.42119150899  1.17569E-21 
384.7362270329  8.69662E-21 
392.46942519626  5.78575E-20 
404.36164124913  3.49411E-19 
412.48931023824   1.6324E-18 
420.78034537403  6.06906E-18 
429.23803031605  2.14486E-17 
437.8657147254  1.12633E-16 
446.66681559138  4.72929E-16 
455.64481858477  1.62762E-15 
469.4513122327  6.06588E-15 
478.88728360858   2.1353E-14 
488.51291800911  7.12508E-14 
498.3320276611  2.26098E-13 
503.31534793771  4.20363E-13 
508.34850141708  8.35866E-13 
518.56630629557  1.95053E-12 
528.98948905211  5.50116E-12 
539.62217778206  1.46803E-11 
545.01839955988  3.77391E-11 
555.97326939103  9.36468E-11 
567.14833210579  2.24728E-10 
578.54801358112  5.14129E-10 
584.33349371693   1.17878E-9 
596.07859694064   2.58458E-9 
608.05977673914   5.51528E-9 
614.14037450653   1.14705E-8 
626.48459603412   2.32758E-8 
639.0769364144   4.61432E-8 
645.46770577855   8.94611E-8 
651.92238283633   1.49626E-7 
658.44160666469   2.32159E-7 
671.67628295866   4.27618E-7 
678.39304578824   7.72865E-7 
692.02874600859   1.37184E-6 
698.94903346867   2.35524E-6 
712.99790904139   2.02821E-7 
720.12788813181    3.2422E-7 
734.60245868325   4.88542E-7 
741.94848327009   7.60487E-7 
749.36796810279   1.16828E-6 
764.43026426165   1.77221E-6 
772.07456690427   2.65569E-6 
779.79531257331   3.93412E-6 
787.59326569905   5.73554E-6 
803.4238903396   8.33483E-6 
811.45812924299   1.19622E-5 
819.57271053542   1.69816E-5 
827.76843764078   2.38749E-5 
844.40658323736    3.3265E-5 
852.85064906973   4.59282E-5 
861.37915556043   6.28719E-5 
869.99294711603   8.52535E-5 
878.69287658719  0.000114935 
887.47980535306  0.000153608 
896.3546034066  0.000203272 
914.37133093507      0.27241 
923.51504424442      1.00384 
932.75019468686      1.29206 
942.07769663373      1.71528 
951.49847360007      2.41188 
961.01345833607      3.08888 
970.62359291943      3.55746 
980.32982884862      4.78996 
990.13312713711      5.70256 
1000.0344584085      7.58775 
1010.0348029926      9.14049 
