#  WAVELENGTH	        FLUX	
#  (ANGSTROM)	(ERG/CM2/S/A)	
############	############	
567.14833210579  6.87124E-25 
578.54801358112  2.24224E-24 
584.33349371693  7.15886E-24 
596.07859694064  2.17101E-23 
608.05977673914  6.33384E-23 
614.14037450653  1.78094E-22 
626.48459603412  4.83505E-22 
639.0769364144  1.27027E-21 
645.46770577855  3.23293E-21 
651.92238283633    6.678E-21 
658.44160666469  1.24062E-20 
671.67628295866   2.9343E-20 
678.39304578824  6.75549E-20 
692.02874600859  1.51558E-19 
698.94903346867  3.31672E-19 
712.99790904139  7.64108E-19 
720.12788813181  1.59319E-18 
734.60245868325  3.03078E-18 
741.94848327009  6.07284E-18 
749.36796810279   1.1928E-17 
764.43026426165  2.29827E-17 
772.07456690427  4.34771E-17 
779.79531257331  8.08085E-17 
787.59326569905  1.47581E-16 
803.4238903396  2.65404E-16 
811.45812924299  4.69727E-16 
819.57271053542  8.18856E-16 
827.76843764078  1.40718E-15 
844.40658323736  2.38429E-15 
852.85064906973  3.98574E-15 
861.37915556043  6.57619E-15 
869.99294711603  1.07135E-14 
878.69287658719  1.72486E-14 
887.47980535306   2.7444E-14 
896.3546034066  4.31722E-14 
914.37133093507   1.75895E-9 
923.51504424442   6.68462E-9 
932.75019468686   1.04988E-8 
942.07769663373   1.66191E-8 
951.49847360007   2.68698E-8 
961.01345833607   4.10299E-8 
970.62359291943   6.13429E-8 
980.32982884862   9.47122E-8 
990.13312713711    1.4119E-7 
1000.0344584085   2.12952E-7 
1010.0348029926    3.0801E-7 
1020.1351510225   4.51197E-7 
1030.3365025327   6.62322E-7 
1040.639867558   9.55915E-7 
1051.0462662336   1.36476E-6 
1061.556728896   1.93071E-6 
1072.1722961849   2.71852E-6 
1082.8940191468    3.8002E-6 
1093.7229593382   5.26564E-6 
1104.6601889316  3.014345E-5 
1115.7067908209    6.4453E-5 
1126.8638587291    8.8332E-5 
1138.1324973164  0.000103413 
1149.5138222896  0.000103881 
1161.0089605125  0.000116415 
1172.6190501176  0.000111385 
1184.3452406188 0.0002757855 
1196.188693025  0.000126677 
1208.1505799552   5.05396E-5 
1220.2320857548  0.000215744 
1232.4344066123  0.000302107 
1244.7587506785  0.000463422 
1257.2063381852   0.00106254 
1269.7784015671   0.00171932 
1282.4761855828   0.00363153 
1295.3009474386   0.00561481 
1308.253956913   0.00865933 
1321.3364964821    0.0117404 
1334.5498614469    0.0185345 
1347.8953600614    0.0270746 
1361.374313662    0.0338873 
1374.9880567986    0.0473576 
1388.7379373666    0.0645969 
1402.6253167403   0.08992605 
1416.6515699077     0.115578 
1430.8180856068 0.15696288235294 
1445.1262664628 0.19895076923077 
1459.5775291275      0.26314 
1474.1733044187    0.3167155 
1488.9150374629     0.472095 
1503.8041878376 0.57674059090909 
1518.8422297159     0.805485 
1534.0306520131     1.355395 
1549.3709585332      1.88285 
1564.8646681186     2.442605 
1580.5133147997       4.1887 
1596.3184479477      5.17079 
1612.2816324272      6.75582 
1628.4044487515      8.78074 
1644.688493239     9.748285 
1661.1353781714 13.489036363636 
1677.7467319531      24.4928 
1694.5241992726     30.22605 
1711.4694412654       38.857 
1728.584135678      56.3956 
1745.8699770348      76.0891 
1763.3286768051     84.67265 
1780.9619635732      115.171 
1798.7715832089     137.3135 
1816.759299041      149.849 
1834.9268920314     193.1385 
1853.2761609517     239.2125 
1871.8089225613      296.668 
1890.5270117869      364.405 
1909.4322819047       472.29 
1928.5266047238      551.747 
1947.811870771 706.23645454545 
1967.2899894787 818.46482352941 
1986.9628893735       955.69 
2006.8325182673     1069.495 
2026.9008434499      1370.27 
2047.1698518844     1507.905 
2067.6415504033     1974.059 
2088.3179659073      2389.43 
2109.2011455664      2667.57 
2130.293157022     3092.745 
2151.5960885923     3823.655 
2173.1120494782      4685.11 
2194.843169973      5721.31 
2216.7916016727      7198.26 
2238.9595176894      7226.69 
2261.3491128663     7445.705 
2283.962603995 10390.983333333 
2306.8022300349      10603.5 
2329.8702523353     6800.135 
2353.1689548586      8839.26 
2376.7006444072     7197.625 
2400.4676508513      9657.33 
2424.4723273598 23517.933333333 
2448.7170506334        27374 
2473.2042211397      24192.3 
2497.9362633511 28671.704347826 
2522.9156259846 27915.87037037 
2548.1447822445     36551.75 
2573.6262300669      30584.2 
2599.3624923676 24124.133333333 
2625.3561172913     63797.75 
2651.6096784642 88386.933333333 
2678.1257752488      90390.3 
2704.9070330013 81107.333333333 
2731.9561033313 59295.733333333 
2759.2756643647 68677.166666667 
2786.8684210083     24041.05 
2814.7371052184 101519.76666667 
2842.8844762706 126690.83333333 
2871.3133210333 175471.33333333 
2900.0264542436       229524 
2929.026718786       230676 
2958.3169859739       267938 
2987.9001558336       292148 
3017.779157392       321797 
3047.9569489659     340165.5 
3078.4365184556       365429 
3109.2208836401     379913.5 
3140.3130924765       414523 
3171.7162234013       408788 
3203.4333856353     438926.5 
3235.4677194916       511284 
3267.8223966866     591613.5 
3300.5006206534       619079 
3333.50562686       614751 
3366.8406831286       615273 
3400.5090899598     739549.5 
3434.5141808594       786694 
3468.859322668       802573 
3503.5479158947       870428 
3538.5833950537     931089.5 
3573.9692290042       911741 
3609.7089212942     978177.2 
3645.8060105072 1068533.3333333 
3682.2640706123      1310430 
3719.0867113184      1605650 
3756.2775784316      1805205 
3793.8403542159      1896705 
3831.778757758      2018810 
3870.0965453356      1919170 
3908.797510789    1403601.5 
3947.8854858969      1364105 
3987.3643407558      2337725 
4027.2379841634      2502235 
4067.510364005      2613995 
4108.1854676451      2689330 
4149.2673223215 2807426.6666667 
4190.7599955447      2778810 
4232.6675955002      2851830 
4274.9942714552      2540485 
4317.7442141697      2948145 
4360.9216563114      3059650 
4404.5308728746      3149050 
4448.5761816033      3290600 
4493.0619434193      3434285 
4537.9925628535      3475280 
4583.3724884821      3551765 
4629.2062133669 3649753.3333333 
4675.4982755006      3704480 
4722.2532582556      3794415 
4769.4757908381 3821593.3333333 
4817.1705487465      3817155 
4865.342254234      3740470 
4913.9956767763      3846725 
4963.1356335441 3834026.6666667 
5012.7669898795      3904395 
5062.8946597783 3943403.3333333 
5113.5236063761      3861265 
5164.6588424398 3820123.3333333 
5216.3054308642      3931360 
5268.4684851729      3928860 
5321.1531700246 3983433.3333333 
5374.3647017249      3988785 
5428.1083487421      4028160 
5482.3894322295      4056300 
5537.2133265518 4076476.6666667 
5592.5854598173      4086890 
5648.5113144155      4072860 
5704.9964275597 4095563.3333333 
5762.0463918353      4101610 
5819.6668557536 4092526.6666667 
5877.8635243112 4054473.3333333 
5936.6421595543 4071243.3333333 
5996.0085811498 4049996.6666667 
6055.9686669613      4030610 
6116.5283536309 3950153.3333333 
6177.6936371672      3975140 
6239.4705735389      3927780 
6301.8652792743 3922723.3333333 
6364.883932067 3906486.6666667 
6428.5327713877      3858815 
6492.8180991016 3856446.6666667 
6557.7462800926 3706603.3333333 
6623.3237428935 3818096.6666667 
6689.5569803225      3793485 
6756.4525501257 3757336.6666667 
6824.0170756269    3725162.5 
6892.2572463832 3693753.3333333 
6961.179818847    3655847.5 
7030.7916170355      3623060 
7101.0995332059      3580100 
7172.1105285379      3527610 
7243.8316338233    3505787.5 
7316.2699501615 3473096.6666667 
7389.4326496631      3422830 
7463.3269761598    3390772.5 
7537.9602459214    3356497.5 
7613.3398483806 3313843.3333333 
7689.4732468644      3271980 
7766.367979333    3239677.5 
7844.0316591264    3199567.5 
7922.4719757176      3153110 
8001.6966954748    3114452.5 
8081.7136624296    3076307.5 
8162.5307990539    3022957.5 
8244.1561070444      2989720 
8326.5976681148    2934942.5 
8409.863644796      2894160 
8493.9622812439      2721400 
8578.9019040564      2831575 
8664.6909230969      2717304 
8751.3378323279      2755200 
8838.8512106512      2710270 
8927.2397227577      2667416 
9016.5121199853    2624647.5 
9106.6772411851      2598466 
9197.744013597    2530852.5 
9289.721453733      2519222 
9382.6186682703      2466932 
9476.444854953      2421748 
9571.2093035025      2388675 
9666.9213965375      2351248 
9763.5906105029      2314938 
9861.226516608      2273642 
9959.838781774 2237533.3333333 
10059.437169592      2188310 
10160.031541288      2158680 
10261.631856701      2118765 
10364.248175268      2087210 
10467.89065702      2046960 
10572.56956359 1996756.6666667 
10678.295259226      1956290 
10785.078211819      1918860 
10892.928993937      1880260 
11001.858283876      1867250 
11111.876866715      1834215 
11222.995635382 1795276.6666667 
11335.225591736      1755970 
11448.577847653      1734345 
11563.06362613 1691166.6666667 
11678.694262391      1658840 
11795.481205015      1626080 
11913.436017065 1599443.3333333 
12032.570377236      1570190 
12152.896081008      1551040 
12274.425041818 1520183.3333333 
12397.169292236      1492255 
12521.140985159      1462680 
12646.35239501      1436805 
12772.81591896 1399206.6666667 
12900.54407815      1379450 
13029.549518932      1354260 
13159.845014121 1329143.3333333 
13291.443464262      1307015 
13424.357898905      1285280 
13558.601477894 1257523.3333333 
13694.187492673 1230743.3333333 
13831.129367599      1212150 
13969.440661275      1192000 
14109.135067888 1167516.6666667 
14250.226418567 1145056.6666667 
14392.728682753      1117930 
14536.65596958 1100741.6666667 
14682.022529276      1078580 
14828.842754569 1057386.6666667 
14977.131182115 1033086.6666667 
15126.902493936      1018630 
15278.171518875 997315.33333333 
15430.953234064 983340.66666667 
15585.262766404 965493.66666667 
15741.115394068       941943 
15898.526548009 936598.28571429 
16057.511813489       898079 
16218.086931624     893567.5 
16380.26780094       850823 
16544.07047895     844283.5 
16709.511183739       799966 
16876.606295577       786799 
17045.372358532       761879 
17215.826082118     722630.5 
17387.984342939     702782.5 
17561.864186368       682457 
17737.482828232     663683.5 
17914.857656514       638955 
18094.006233079       607405 
18274.94629541       591224 
18457.695758364       574846 
18642.272715948       549827 
18828.695443107     536364.5 
19016.982397539     519096.5 
19207.152221514     500089.5 
19399.223743729     476593.5 
19593.215981166       464593 
19789.148140978     448876.5 
19987.039622388       433915 
20186.910018612     418357.5 
20388.779118798       404652 
20592.666909986       390520 
20798.593579086     377417.5 
21006.579514877       364906 
21216.645310025     352749.5 
21428.811763126       341509 
21643.099880757 325151.66666667 
21859.530879564     314195.5 
22078.12618836       304228 
22298.907450244     294723.5 
22521.896524746       285019 
22747.115489993 274108.66666667 
22974.586644893     263643.5 
23204.332511342       255163 
23436.375836456 245621.33333333 
23670.73959482       236312 
23907.446990769       229328 
24146.521460676 220757.33333333 
24387.986675283     212661.5 
24631.866542036       205129 
24878.185207456       197754 
25126.967059531 190972.33333333 
25378.236730126     184896.5 
25632.019097427 177609.66666667 
25888.339288402       172375 
26147.222681286       164587 
26408.694908098 159312.66666667 
26672.781857179     153271.5 
26939.509675751       149135 
27208.904772509 143236.66666667 
27480.993820234 136954.66666667 
27755.803758436       133100 
28033.361796021 128798.66666667 
28313.695413981 123845.33333333 
28596.832368121       118600 
28882.800691802 114631.33333333 
29171.62869872 110324.66666667 
29463.344985707       106262 
29757.978435564 102357.33333333 
30055.55821992 98271.366666667 
30356.113802119 95017.233333333 
30659.67494014 91654.566666667 
30966.271689541 88352.133333333 
31275.934406437 85274.066666667 
31588.693750501        82326 
31904.580688006     79586.62 
32223.626494886     76326.15 
32545.862759835      73733.1 
32871.321387434      70979.3 
33200.034601308      68130.8 
33532.034947321      65872.8 
33867.355296794     63674.55 
34206.028849762      60989.3 
34548.08913826      59033.3 
34893.570029642     57150.65 
35242.505729939     54731.45 
35594.930787238      52461.1 
35950.880095111     50326.45 
36310.388896062      48708.5 
36673.492785022     47238.45 
37040.227712872        45373 
37410.629990001     43424.35 
37784.736289901     41849.55 
38162.5836528      40268.9 
38544.209489328      38718.5 
38929.651584221      37186.7 
39318.948100064     35840.05 
39712.137581064      34468.8 
40109.258956875      33040.9 
40510.351546444     31988.45 
40915.455061908     30832.05 
41324.609612527      29659.8 
41737.855708653      28637.1 
42155.234265739      27637.2 
42576.786608396     26623.45 
43002.55447448     25535.95 
43432.580019225     24481.25 
43866.905819417 23362.666666667 
44305.574877612     22289.45 
44748.630626388      21525.6 
45196.116932652     20783.15 
45648.078101978      19954.5 
46104.558882998     19147.15 
46565.604471828      18586.4 
47031.260516546 17911.566666667 
47501.573121712     17225.75 
47976.588852929     16677.45 
48456.354741458 16042.933333333 
48940.918288873      15435.5 
49430.327471761 14853.966666667 
49924.630746479      14293.1 
50423.877053944      13758.5 
50928.115824483        13247 
51437.396982728 12787.466666667 
51951.770952555     12322.35 
52471.288662081 11890.766666667 
52996.001548702 11397.866666667 
53525.961564189     11001.35 
54061.221179831 10625.233333333 
54601.833391629      10193.8 
55147.851725545      9846.25 
55699.330242801 9523.0766666667 
56256.323545229      9147.48 
56818.886780681 8781.0233333333 
57387.075648488 8444.0233333333 
57960.946404973      8117.39 
58540.555869022 7796.2533333333 
59125.961427713      7500.61 
59717.22104199      7223.54 
60314.39325241      6951.44 
60917.537184934 6692.1166666667 
61526.712556783 6446.5266666667 
62141.979682351      6209.02 
62763.399479174 5979.4833333333 
63391.033473966      5769.06 
64024.943808706 5520.4028571429 
64665.193246793      5333.52 
65311.845179261     5148.125 
65964.963631053       4911.2 
66624.613267364      4742.33 
67290.859400038      4578.16 
67963.767994038       4376.1 
68643.405673978      4229.89 
69329.839730718      4089.56 
70023.138128025     3912.005 
70723.369509305      3743.36 
71430.603204399      3623.08 
72144.909236443     3507.125 
72866.358328807      3360.81 
73595.021912095     3221.465 
74330.972131216      3080.17 
75074.281852528       2963.6 
75825.024671053      2873.47 
76583.274917764     2787.045 
77349.107666942      2675.91 
78122.598743611     2571.555 
78903.824731047     2471.605 
79692.862978358     2376.445 
80489.791608141      2285.79 
81294.689524223     2198.605 
82107.636419465     2117.175 
82928.712783659      2038.61 
83757.999911496     1963.785 
84595.579910611 1875.1166666667 
85441.535709717     1791.065 
86295.951066814      1726.69 
87158.910577482       1665.5 
88030.499683257     1608.035 
88910.80468009      1552.33 
89799.912726891 1486.0733333333 
90697.91185416     1423.115 
91604.890972701      1375.31 
92520.939882428 1318.2366666667 
93446.149281253     1263.575 
94380.610774065      1222.74 
95324.416881806 1173.4266666667 
96277.661050624     1126.555 
97240.43766113 1082.0666666667 
98212.842037741     1039.555 
99194.970458119    1007.2555 
100186.9201627      983.811 
199060.83304441      64.1478 
399467.9878358       4.0555 
594753.39981818     0.800425 
793700.71765891     0.252421 
997811.18987739      0.10299 
1193529.3359837    0.0494694 
1399507.0114645    0.0265999 
