#   Isochrone  Z = 0.04237   Y = 0.32598   [M/H] = 0.511   eta_R = 0.200   Age =    7.9434e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.042375   8.9000   0.10284453   0.1028   -3.2119   3.3709   5.0977   12.800   23.871   21.043   19.183   16.641   14.144   10.639   10.067   9.640   1.59781313   0
   0.042375   8.9000   0.10815007   0.1082   -3.1590   3.3769   5.0906   12.668   23.389   20.670   18.840   16.371   13.919   10.518   9.947   9.526   1.64686561   0
   0.042375   8.9000   0.12284452   0.1228   -3.0181   3.3929   5.0692   12.315   22.097   19.671   17.919   15.648   13.318   10.195   9.630   9.222   1.77049422   0
   0.042375   8.9000   0.14284453   0.1428   -2.8562   3.4085   5.0350   11.911   20.768   18.634   16.961   14.883   12.672   9.820   9.259   8.864   1.91490304   0
   0.042375   8.9000   0.16568905   0.1657   -2.7163   3.4213   5.0106   11.561   19.678   17.771   16.159   14.238   12.124   9.494   8.936   8.554   2.05338860   0
   0.042375   8.9000   0.17735380   0.1774   -2.6558   3.4276   5.0050   11.409   19.175   17.373   15.788   13.940   11.874   9.355   8.798   8.422   2.11527348   0
   0.042375   8.9000   0.19707206   0.1971   -2.5534   3.4374   4.9877   11.154   18.426   16.765   15.224   13.478   11.482   9.117   8.561   8.195   2.20890069   0
   0.042375   8.9000   0.20408246   0.2041   -2.5200   3.4407   4.9824   11.070   18.190   16.571   15.043   13.328   11.355   9.039   8.483   8.121   2.23932314   1
   0.042375   8.9000   0.20711133   0.2071   -2.5056   3.4420   4.9799   11.034   18.093   16.490   14.967   13.265   11.301   9.006   8.450   8.089   2.25202560   1
   0.042375   8.9000   0.21482415   0.2148   -2.4720   3.4449   4.9738   10.950   17.879   16.312   14.799   13.124   11.181   8.928   8.371   8.014   2.28324032   1
   0.042375   8.9000   0.25711131   0.2571   -2.3067   3.4592   4.9435   10.537   16.878   15.461   13.986   12.431   10.598   8.545   7.984   7.644   2.43036747   0
