#   Isochrone  Z = 0.01340   Y = 0.27222   [M/H] = -0.043   eta_R = 0.200   Age =    1.7783e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.013400   8.2500   0.09000000   0.0900   -2.9384   3.3999   4.8822   12.116   21.892   19.228   17.418   15.116   12.776   10.023   9.441   9.096   1.46765435   0
   0.013400   8.2500   0.09502500   0.0950   -2.8935   3.4069   4.8888   12.004   21.407   18.852   17.059   14.843   12.563   9.928   9.343   9.000   1.52056265   0
   0.013400   8.2500   0.10000000   0.1000   -2.8498   3.4141   4.8962   11.894   20.911   18.468   16.694   14.567   12.349   9.836   9.249   8.909   1.57040203   0
   0.013400   8.2500   0.10948874   0.1095   -2.7776   3.4242   4.9038   11.714   20.184   17.902   16.156   14.154   12.022   9.680   9.089   8.753   1.65884137   0
   0.013400   8.2500   0.11980792   0.1198   -2.7011   3.4359   4.9131   11.523   19.415   17.293   15.583   13.715   11.676   9.516   8.921   8.589   1.74627399   0
   0.013400   8.2500   0.12000000   0.1200   -2.6996   3.4361   4.9132   11.519   19.402   17.282   15.573   13.707   11.670   9.513   8.918   8.586   1.74782515   0
   0.013400   8.2500   0.13418350   0.1342   -2.6179   3.4457   4.9185   11.315   18.774   16.762   15.086   13.318   11.354   9.330   8.732   8.406   1.85544467   0
   0.013400   8.2500   0.14000000   0.1400   -2.5859   3.4496   4.9203   11.235   18.528   16.558   14.895   13.165   11.231   9.259   8.660   8.336   1.89584959   0
   0.013400   8.2500   0.15468048   0.1547   -2.5127   3.4583   4.9254   11.052   17.973   16.100   14.454   12.814   10.957   9.097   8.495   8.178   1.98968887   0
   0.013400   8.2500   0.16000000   0.1600   -2.4867   3.4613   4.9260   10.987   17.786   15.944   14.305   12.694   10.863   9.040   8.436   8.121   2.02115250   0
   0.013400   8.2500   0.18018879   0.1802   -2.4012   3.4705   4.9287   10.773   17.225   15.468   13.852   12.323   10.568   8.847   8.241   7.934   2.12953258   0
   0.013400   8.2500   0.20000000   0.2000   -2.3227   3.4787   4.9286   10.577   16.733   15.046   13.450   11.991   10.307   8.670   8.062   7.762   2.22178221   0
   0.013400   8.2500   0.22859131   0.2286   -2.2260   3.4884   4.9284   10.335   16.168   14.554   12.970   11.586   9.996   8.453   7.842   7.551   2.33526850   0
   0.013400   8.2500   0.23889059   0.2389   -2.1923   3.4915   4.9266   10.251   15.983   14.391   12.814   11.453   9.891   8.377   7.765   7.477   2.37143087   0
   0.013400   8.2500   0.25000000   0.2500   -2.1566   3.4948   4.9238   10.161   15.796   14.227   12.658   11.319   9.783   8.295   7.682   7.397   2.40809011   0
   0.013400   8.2500   0.30000001   0.3000   -2.0128   3.5061   4.9045   9.802   15.111   13.616   12.078   10.813   9.363   7.962   7.345   7.071   2.54750419   0
   0.013400   8.2500   0.34999999   0.3500   -1.8762   3.5174   4.8801   9.461   14.483   13.047   11.539   10.337   8.971   7.648   7.025   6.763   2.65552020   0
   0.013400   8.2500   0.37127057   0.3713   -1.8122   3.5226   4.8622   9.300   14.204   12.792   11.296   10.121   8.791   7.500   6.875   6.617   2.69429660   0
   0.013400   8.2500   0.40000001   0.4000   -1.7306   3.5291   4.8391   9.097   13.862   12.473   10.993   9.848   8.565   7.312   6.682   6.432   2.74133730   0
   0.013400   8.2500   0.44999999   0.4500   -1.5799   3.5434   4.7965   8.720   13.234   11.874   10.425   9.337   8.147   6.971   6.332   6.095   2.81098008   0
   0.013400   8.2500   0.50000000   0.5000   -1.4245   3.5625   4.7633   8.331   12.574   11.224   9.803   8.776   7.714   6.633   5.982   5.762   2.86847806   0
   0.013400   8.2500   0.52305347   0.5231   -1.3521   3.5711   4.7449   8.150   12.284   10.932   9.522   8.519   7.517   6.476   5.819   5.609   2.89172721   0
   0.013400   8.2500   0.55000001   0.5500   -1.2823   3.5796   4.7309   7.976   12.008   10.654   9.255   8.273   7.329   6.325   5.662   5.462   2.91663504   0
   0.013400   8.2500   0.56976974   0.5698   -1.2314   3.5864   4.7225   7.848   11.803   10.446   9.059   8.094   7.193   6.216   5.547   5.358   2.93353438   0
   0.013400   8.2500   0.60000002   0.6000   -1.1359   3.6003   4.7051   7.610   11.415   10.050   8.694   7.761   6.941   6.011   5.332   5.165   2.95739889   0
   0.013400   8.2500   0.64999998   0.6500   -0.9772   3.6270   4.6879   7.213   10.719   9.340   8.075   7.207   6.524   5.674   4.997   4.873   2.99236870   0
   0.013400   8.2500   0.69999999   0.7000   -0.8245   3.6541   4.6760   6.831   9.852   8.597   7.458   6.683   6.128   5.364   4.729   4.638   3.02253795   0
   0.013400   8.2500   0.74439466   0.7444   -0.6959   3.6765   4.6639   6.510   9.008   7.985   6.958   6.277   5.794   5.111   4.545   4.468   3.04602551   1
   0.013400   8.2500   0.75000000   0.7500   -0.6805   3.6796   4.6638   6.471   8.897   7.909   6.897   6.229   5.754   5.082   4.527   4.451   3.04879928   1
   0.013400   8.2500   0.80000001   0.8000   -0.5513   3.6997   4.6431   6.148   8.155   7.375   6.451   5.861   5.430   4.825   4.330   4.264   3.07187057   1
   0.013400   8.2500   0.85000002   0.8500   -0.4292   3.7184   4.6222   5.843   7.495   6.902   6.055   5.528   5.133   4.588   4.147   4.088   3.09222293   1
   0.013400   8.2500   0.89999998   0.9000   -0.3138   3.7353   4.5994   5.554   6.917   6.485   5.703   5.225   4.857   4.365   3.969   3.916   3.11026096   1
   0.013400   8.2500   0.94999999   0.9500   -0.2044   3.7503   4.5733   5.281   6.406   6.105   5.385   4.946   4.602   4.155   3.795   3.748   3.12635612   1
   0.013400   8.2500   1.00000000   1.0000   -0.0962   3.7640   4.5423   5.010   5.956   5.752   5.083   4.676   4.352   3.942   3.614   3.572   3.14080405   1
   0.013400   8.2500   1.04999995   1.0500   0.0071   3.7765   4.5102   4.752   5.538   5.417   4.802   4.425   4.121   3.746   3.445   3.408   3.15380883   1
   0.013400   8.2500   1.10000002   1.1000   0.1051   3.7878   4.4775   4.507   5.140   5.103   4.544   4.202   3.916   3.566   3.284   3.255   3.16554141   1
   0.013400   8.2500   1.14999998   1.1500   0.1981   3.7980   4.4447   4.275   4.789   4.813   4.303   3.989   3.719   3.392   3.126   3.103   3.17617631   1
   0.013400   8.2500   1.20000005   1.2000   0.2881   3.8078   4.4124   4.050   4.491   4.540   4.070   3.776   3.521   3.217   2.971   2.951   3.18585706   1
   0.013400   8.2500   1.25000000   1.2500   0.3736   3.8175   4.3832   3.836   4.226   4.284   3.849   3.573   3.334   3.052   2.827   2.808   3.19470429   1
   0.013400   8.2500   1.34349096   1.3435   0.5214   3.8350   4.3367   3.466   3.784   3.845   3.468   3.226   3.016   2.774   2.583   2.568   3.20930171   1
   0.013400   8.2500   1.39349079   1.3935   0.5946   3.8450   4.3195   3.283   3.571   3.626   3.279   3.057   2.864   2.645   2.473   2.460   3.21620202   1
   0.013400   8.2500   1.44349098   1.4435   0.6633   3.8563   4.3113   3.112   3.372   3.416   3.101   2.902   2.728   2.534   2.384   2.372   3.22256231   1
   0.013400   8.2500   1.49349093   1.4935   0.7300   3.8694   4.3119   2.945   3.181   3.210   2.929   2.756   2.606   2.439   2.314   2.303   3.22844124   1
   0.013400   8.2500   1.54349089   1.5435   0.7945   3.8832   4.3169   2.784   3.001   3.011   2.765   2.619   2.493   2.356   2.256   2.246   3.23388982   1
   0.013400   8.2500   1.59349096   1.5935   0.8561   3.8965   4.3222   2.630   2.833   2.825   2.612   2.492   2.390   2.279   2.200   2.192   3.23895168   1
   0.013400   8.2500   1.64349079   1.6435   0.9154   3.9090   4.3264   2.482   2.673   2.650   2.469   2.373   2.293   2.206   2.146   2.138   3.24365473   1
   0.013400   8.2500   1.66385853   1.6639   0.9387   3.9138   4.3277   2.423   2.611   2.583   2.415   2.328   2.256   2.177   2.123   2.116   3.24547458   1
