#   Isochrone  Z = 0.02124   Y = 0.28667   [M/H] = 0.171   eta_R = 0.200   Age =    7.9434e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.021238   8.9000   0.09148076   0.0915   -3.3549   3.3608   5.1494   13.157   25.343   21.929   19.924   17.149   14.487   10.967   10.382   10.023   1.48352957   0
   0.021238   8.9000   0.10296151   0.1030   -3.1995   3.3821   5.1306   12.769   23.703   20.687   18.773   16.265   13.784   10.627   10.042   9.687   1.59892321   0
   0.021238   8.9000   0.11100867   0.1110   -3.1154   3.3935   5.1247   12.559   22.838   20.027   18.159   15.791   13.405   10.443   9.856   9.506   1.67225277   0
   0.021238   8.9000   0.12236436   0.1224   -2.9947   3.4092   5.1092   12.257   21.618   19.097   17.295   15.123   12.870   10.177   9.589   9.243   1.76670671   0
   0.021238   8.9000   0.12296151   0.1230   -2.9883   3.4100   5.1081   12.241   21.554   19.049   17.250   15.088   12.842   10.163   9.575   9.229   1.77141464   0
   0.021238   8.9000   0.14296152   0.1430   -2.8123   3.4304   5.0791   11.801   19.920   17.792   16.078   14.174   12.099   9.770   9.182   8.842   1.91567707   0
   0.021238   8.9000   0.16038397   0.1604   -2.6932   3.4426   5.0589   11.503   19.022   17.066   15.408   13.631   11.648   9.499   8.909   8.576   2.02337408   1
   0.021238   8.9000   0.16592301   0.1659   -2.6575   3.4462   5.0524   11.414   18.763   16.854   15.212   13.471   11.515   9.417   8.827   8.496   2.05468392   1
   0.021238   8.9000   0.17724556   0.1772   -2.5950   3.4517   5.0403   11.257   18.352   16.515   14.894   13.208   11.295   9.273   8.682   8.355   2.11472344   1
   0.021238   8.9000   0.20740378   0.2074   -2.4460   3.4646   5.0112   10.885   17.422   15.739   14.156   12.592   10.789   8.931   8.338   8.020   2.25323844   0
   0.021238   8.9000   0.23167047   0.2317   -2.3464   3.4727   4.9920   10.636   16.860   15.259   13.702   12.207   10.467   8.701   8.105   7.795   2.34631300   1
   0.021238   8.9000   0.25740379   0.2574   -2.2512   3.4804   4.9733   10.398   16.345   14.814   13.278   11.844   10.166   8.480   7.883   7.580   2.43126392   1
