#   Isochrone  Z = 0.04237   Y = 0.32598   [M/H] = 0.511   eta_R = 0.200   Age =    3.5482e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.042375   8.5500   0.10284453   0.1028   -3.0737   3.3774   4.9855   12.454   22.872   20.323   18.551   16.130   13.698   10.307   9.746   9.314   1.59781313   0
   0.042375   8.5500   0.11448404   0.1145   -2.9839   3.3873   4.9820   12.230   22.108   19.716   17.983   15.677   13.318   10.101   9.541   9.119   1.70220411   0
   0.042375   8.5500   0.12284452   0.1228   -2.9209   3.3946   4.9786   12.072   21.556   19.279   17.575   15.354   13.049   9.957   9.398   8.984   1.77049422   0
   0.042375   8.5500   0.13064776   0.1306   -2.8731   3.4003   4.9804   11.953   21.136   18.943   17.260   15.104   12.841   9.848   9.290   8.882   1.82987237   0
   0.042375   8.5500   0.14284453   0.1428   -2.7979   3.4087   4.9777   11.765   20.492   18.431   16.780   14.723   12.521   9.676   9.119   8.719   1.91490304   0
   0.042375   8.5500   0.14636078   0.1464   -2.7786   3.4107   4.9770   11.716   20.335   18.305   16.662   14.628   12.442   9.631   9.074   8.677   1.93785357   0
   0.042375   8.5500   0.16568905   0.1657   -2.6717   3.4211   4.9654   11.449   19.497   17.635   16.036   14.123   12.014   9.383   8.827   8.442   2.05338860   0
   0.042375   8.5500   0.18750654   0.1875   -2.5713   3.4324   4.9637   11.198   18.666   16.965   15.411   13.621   11.594   9.153   8.598   8.225   2.16505170   0
   0.042375   8.5500   0.20711133   0.2071   -2.4759   3.4415   4.9480   10.960   18.001   16.418   14.900   13.199   11.234   8.931   8.376   8.013   2.25202560   0
   0.042375   8.5500   0.25711131   0.2571   -2.2833   3.4588   4.9185   10.478   16.810   15.405   13.935   12.379   10.545   8.486   7.925   7.584   2.43036747   0
   0.042375   8.5500   0.30711132   0.3071   -2.1401   3.4726   4.9077   10.120   15.992   14.686   13.248   11.790   10.051   8.156   7.589   7.268   2.56451964   0
   0.042375   8.5500   0.35711130   0.3571   -1.9894   3.4864   4.8779   9.743   15.212   13.985   12.571   11.198   9.560   7.811   7.232   6.931   2.66889668   0
   0.042375   8.5500   0.44999999   0.4500   -1.7148   3.5110   4.8019   9.057   13.972   12.832   11.476   10.227   8.726   7.180   6.566   6.303   2.81098008   0
   0.042375   8.5500   0.50000000   0.5000   -1.5711   3.5249   4.7599   8.698   13.387   12.256   10.923   9.733   8.301   6.856   6.217   5.972   2.86847806   0
   0.042375   8.5500   0.55000001   0.5500   -1.4196   3.5422   4.7187   8.319   12.791   11.637   10.339   9.218   7.852   6.518   5.852   5.628   2.91663504   0
   0.042375   8.5500   0.60000002   0.6000   -1.2696   3.5624   4.6872   7.944   12.222   10.990   9.697   8.653   7.399   6.196   5.504   5.306   2.95739889   0
   0.042375   8.5500   0.63660938   0.6366   -1.1617   3.5795   4.6735   7.674   11.809   10.487   9.183   8.199   7.069   5.975   5.270   5.094   2.98351002   0
   0.042375   8.5500   0.64999998   0.6500   -1.1216   3.5861   4.6690   7.574   11.655   10.298   8.990   8.025   6.949   5.894   5.189   5.021   2.99236870   0
   0.042375   8.5500   0.69999999   0.7000   -0.9732   3.6123   4.6574   7.203   11.050   9.585   8.287   7.389   6.518   5.592   4.907   4.770   3.02253795   0
   0.042375   8.5500   0.72579294   0.7258   -0.8910   3.6305   4.6637   6.998   10.639   9.155   7.886   7.025   6.292   5.437   4.769   4.655   3.03652310   1
   0.042375   8.5500   0.75000000   0.7500   -0.8170   3.6479   4.6736   6.812   10.168   8.751   7.528   6.709   6.092   5.303   4.672   4.573   3.04879928   1
   0.042375   8.5500   0.80000001   0.8000   -0.6957   3.6646   4.6470   6.509   9.511   8.232   7.076   6.311   5.777   5.050   4.468   4.380   3.07187057   1
   0.042375   8.5500   0.85000002   0.8500   -0.5789   3.6813   4.6237   6.217   8.843   7.731   6.653   5.954   5.477   4.810   4.282   4.202   3.09222293   1
   0.042375   8.5500   0.89999998   0.9000   -0.4659   3.6974   4.5999   5.935   8.220   7.271   6.266   5.630   5.192   4.580   4.101   4.029   3.11026096   1
   0.042375   8.5500   0.94999999   0.9500   -0.3501   3.7132   4.5706   5.645   7.618   6.826   5.890   5.310   4.905   4.346   3.910   3.845   3.12635612   1
   0.042375   8.5500   1.00000000   1.0000   -0.2459   3.7270   4.5439   5.385   7.108   6.447   5.566   5.031   4.651   4.136   3.737   3.678   3.14080405   1
   0.042375   8.5500   1.09288871   1.0929   -0.0540   3.7512   4.4872   4.905   6.236   5.785   5.000   4.533   4.192   3.751   3.412   3.362   3.16394353   1
   0.042375   8.5500   1.14288867   1.1429   0.0425   3.7623   4.4549   4.664   5.836   5.468   4.727   4.289   3.965   3.558   3.244   3.198   3.17472506   1
   0.042375   8.5500   1.19288874   1.1929   0.1351   3.7726   4.4217   4.432   5.472   5.169   4.471   4.058   3.750   3.371   3.079   3.037   3.18453360   1
   0.042375   8.5500   1.24288869   1.2429   0.2231   3.7821   4.3896   4.212   5.121   4.883   4.230   3.846   3.555   3.201   2.928   2.891   3.19349289   1
   0.042375   8.5500   1.28521645   1.2852   0.2940   3.7895   4.3631   4.035   4.823   4.648   4.037   3.682   3.406   3.070   2.811   2.780   3.20048571   1
   0.042375   8.5500   1.29288864   1.2929   0.3065   3.7908   4.3584   4.004   4.773   4.607   4.003   3.652   3.379   3.046   2.790   2.759   3.20169806   1
   0.042375   8.5500   1.34288871   1.3429   0.3854   3.7994   4.3301   3.807   4.466   4.353   3.792   3.467   3.209   2.898   2.658   2.633   3.20921493   1
   0.042375   8.5500   1.37599671   1.3760   0.4351   3.8047   4.3123   3.682   4.295   4.198   3.661   3.347   3.099   2.801   2.572   2.549   3.21385241   1
   0.042375   8.5500   1.39288867   1.3929   0.4602   3.8074   4.3032   3.620   4.210   4.121   3.595   3.287   3.043   2.752   2.529   2.506   3.21612215   1
   0.042375   8.5500   1.44288874   1.4429   0.5315   3.8151   4.2783   3.441   3.974   3.903   3.408   3.116   2.885   2.613   2.406   2.385   3.22248864   1
