#   Isochrone  Z = 0.01340   Y = 0.27222   [M/H] = -0.043   eta_R = 0.200   Age =    2.5119e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.013400   7.4000   0.82909948   0.8291   -0.5337   3.6610   4.4863   6.104   8.933   7.759   6.664   5.927   5.402   4.659   4.040   3.957   3.08402133   0
   0.013400   7.4000   0.85000002   0.8500   -0.4756   3.6707   4.4778   5.959   8.558   7.491   6.443   5.747   5.251   4.543   3.955   3.877   3.09222293   0
   0.013400   7.4000   0.86980802   0.8698   -0.4178   3.6808   4.4702   5.814   8.174   7.225   6.225   5.572   5.101   4.431   3.878   3.804   3.09962320   0
   0.013400   7.4000   0.89354479   0.8935   -0.3451   3.6936   4.4608   5.633   7.730   6.909   5.965   5.361   4.919   4.291   3.776   3.708   3.10804844   0
   0.013400   7.4000   0.89999998   0.9000   -0.3248   3.6972   4.4581   5.582   7.604   6.822   5.894   5.304   4.868   4.252   3.749   3.682   3.11026096   0
   0.013400   7.4000   0.91354710   0.9135   -0.2823   3.7047   4.4520   5.476   7.349   6.646   5.748   5.184   4.763   4.173   3.692   3.628   3.11480021   0
   0.013400   7.4000   0.93831187   0.9383   -0.2026   3.7187   4.4398   5.276   6.890   6.325   5.484   4.965   4.570   4.025   3.583   3.525   3.12275124   0
   0.013400   7.4000   0.94999999   0.9500   -0.1643   3.7254   4.4337   5.181   6.680   6.178   5.362   4.863   4.478   3.954   3.531   3.475   3.12635612   0
   0.013400   7.4000   0.95375574   0.9538   -0.1517   3.7275   4.4313   5.149   6.613   6.131   5.323   4.829   4.448   3.930   3.513   3.458   3.12749529   0
   0.013400   7.4000   0.97626311   0.9763   -0.0761   3.7402   4.4166   4.960   6.216   5.847   5.090   4.631   4.272   3.793   3.409   3.359   3.13413405   0
   0.013400   7.4000   1.00000000   1.0000   0.0021   3.7533   4.4011   4.765   5.832   5.565   4.860   4.433   4.093   3.652   3.299   3.254   3.14080405   0
   0.013400   7.4000   1.00206792   1.0021   0.0090   3.7544   4.3995   4.747   5.801   5.542   4.841   4.416   4.078   3.640   3.289   3.244   3.14136982   0
   0.013400   7.4000   1.02599812   1.0260   0.0808   3.7663   4.3855   4.568   5.473   5.290   4.635   4.237   3.916   3.512   3.189   3.148   3.14773679   0
   0.013400   7.4000   1.03644824   1.0364   0.0998   3.7701   4.3860   4.521   5.380   5.221   4.580   4.190   3.875   3.482   3.167   3.127   3.15041780   0
   0.013400   7.4000   1.04999995   1.0500   0.1225   3.7748   4.3880   4.464   5.267   5.135   4.515   4.137   3.830   3.449   3.145   3.108   3.15380883   0
   0.013400   7.4000   1.06067491   1.0607   0.1404   3.7786   4.3898   4.419   5.177   5.067   4.464   4.095   3.794   3.424   3.129   3.093   3.15641403   0
   0.013400   7.4000   1.09890580   1.0989   0.1722   3.7886   4.4133   4.340   4.961   4.928   4.375   4.036   3.752   3.403   3.123   3.094   3.16529703   0
   0.013400   7.4000   1.10000002   1.1000   0.1725   3.7888   4.4143   4.339   4.957   4.926   4.374   4.036   3.752   3.404   3.124   3.095   3.16554141   0
   0.013400   7.4000   1.10859084   1.1086   0.1747   3.7904   4.4217   4.333   4.931   4.912   4.367   4.034   3.752   3.407   3.129   3.102   3.16744256   0
   0.013400   7.4000   1.14102995   1.1410   0.1859   3.7942   4.4381   4.305   4.861   4.864   4.336   4.013   3.737   3.401   3.129   3.104   3.17434239   0
   0.013400   7.4000   1.14999998   1.1500   0.1949   3.7953   4.4369   4.283   4.827   4.836   4.313   3.992   3.718   3.384   3.114   3.090   3.17617631   0
   0.013400   7.4000   1.19207811   1.1921   0.2319   3.7999   4.4338   4.190   4.684   4.718   4.217   3.908   3.641   3.317   3.055   3.033   3.18438172   0
   0.013400   7.4000   1.20000005   1.2000   0.2450   3.8012   4.4289   4.157   4.642   4.679   4.183   3.877   3.612   3.291   3.032   3.010   3.18585706   0
   0.013400   7.4000   1.25000000   1.2500   0.3290   3.8098   4.3971   3.948   4.377   4.429   3.966   3.676   3.424   3.124   2.883   2.863   3.19470429   0
   0.013400   7.4000   1.34349096   1.3435   0.4994   3.8292   4.3355   3.521   3.858   3.920   3.526   3.273   3.053   2.799   2.596   2.580   3.20930171   0
   0.013400   7.4000   1.39349079   1.3935   0.5795   3.8412   4.3194   3.321   3.620   3.676   3.318   3.089   2.890   2.662   2.483   2.469   3.21620202   0
   0.013400   7.4000   1.44349098   1.4435   0.6512   3.8545   4.3161   3.142   3.406   3.453   3.133   2.929   2.752   2.554   2.401   2.389   3.22256231   0
   0.013400   7.4000   1.46371269   1.4637   0.6793   3.8616   4.3226   3.072   3.321   3.360   3.059   2.870   2.706   2.523   2.383   2.372   3.22499490   1
   0.013400   7.4000   1.49349093   1.4935   0.7181   3.8694   4.3237   2.975   3.211   3.241   2.960   2.786   2.635   2.469   2.344   2.333   3.22844124   1
   0.013400   7.4000   1.54349089   1.5435   0.7794   3.8832   4.3319   2.822   3.038   3.051   2.804   2.657   2.531   2.393   2.293   2.283   3.23388982   1
   0.013400   7.4000   1.59349096   1.5935   0.8401   3.8967   4.3390   2.670   2.872   2.866   2.653   2.532   2.431   2.320   2.241   2.233   3.23895168   1
   0.013400   7.4000   1.64349079   1.6435   0.8968   3.9093   4.3460   2.528   2.719   2.698   2.516   2.421   2.341   2.254   2.193   2.186   3.24365473   1
