#   Isochrone  Z = 0.04237   Y = 0.32598   [M/H] = 0.511   eta_R = 0.200   Age =    6.3097e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.042375   8.8000   0.10284453   0.1028   -3.1899   3.3719   5.0798   12.745   23.710   20.928   19.082   16.559   14.073   10.586   10.016   9.588   1.59781313   0
   0.042375   8.8000   0.12048117   0.1205   -3.0194   3.3909   5.0540   12.318   22.175   19.737   17.985   15.695   13.353   10.195   9.630   9.219   1.75169945   0
   0.042375   8.8000   0.12284452   0.1228   -2.9975   3.3934   5.0504   12.264   21.978   19.584   17.843   15.584   13.260   10.145   9.581   9.172   1.77049422   0
   0.042375   8.8000   0.14284453   0.1428   -2.8523   3.4085   5.0311   11.901   20.749   18.620   16.949   14.873   12.662   9.810   9.250   8.854   1.91490304   0
   0.042375   8.8000   0.16568905   0.1657   -2.7091   3.4212   5.0032   11.543   19.647   17.749   16.139   14.219   12.106   9.476   8.919   8.536   2.05338860   0
   0.042375   8.8000   0.19466478   0.1947   -2.5641   3.4362   4.9882   11.180   18.507   16.832   15.285   13.528   11.524   9.142   8.585   8.218   2.19812536   0
   0.042375   8.8000   0.20711133   0.2071   -2.5041   3.4420   4.9782   11.030   18.088   16.487   14.964   13.262   11.298   9.002   8.446   8.085   2.25202560   0
   0.042375   8.8000   0.25711131   0.2571   -2.3064   3.4592   4.9432   10.536   16.877   15.460   13.985   12.430   10.597   8.544   7.983   7.643   2.43036747   0
   0.042375   8.8000   0.28238523   0.2824   -2.2225   3.4662   4.9280   10.326   16.418   15.060   13.604   12.101   10.317   8.349   7.785   7.455   2.50262761   0
   0.042375   8.8000   0.30711132   0.3071   -2.1460   3.4725   4.9132   10.135   16.015   14.704   13.266   11.806   10.066   8.171   7.603   7.282   2.56451964   0
   0.042375   8.8000   0.31884819   0.3188   -2.1097   3.4758   4.9063   10.044   15.821   14.533   13.102   11.664   9.947   8.087   7.517   7.201   2.59134746   0
   0.042375   8.8000   0.35711130   0.3571   -1.9931   3.4853   4.8773   9.753   15.248   14.017   12.603   11.224   9.578   7.817   7.240   6.937   2.66889668   0
   0.042375   8.8000   0.44999999   0.4500   -1.7208   3.5091   4.8003   9.072   14.021   12.880   11.521   10.264   8.752   7.190   6.579   6.313   2.81098008   0
   0.042375   8.8000   0.50000000   0.5000   -1.5739   3.5237   4.7577   8.705   13.411   12.281   10.946   9.751   8.314   6.860   6.223   5.976   2.86847806   0
   0.042375   8.8000   0.55000001   0.5500   -1.4262   3.5396   4.7148   8.335   12.835   11.690   10.390   9.258   7.880   6.528   5.865   5.638   2.91663504   0
   0.042375   8.8000   0.60000002   0.6000   -1.2749   3.5600   4.6832   7.957   12.256   11.037   9.747   8.695   7.421   6.203   5.512   5.311   2.95739889   0
   0.042375   8.8000   0.64999998   0.6500   -1.1206   3.5853   4.6647   7.571   11.660   10.307   9.000   8.033   6.950   5.889   5.183   5.015   2.99236870   0
   0.042375   8.8000   0.69999999   0.7000   -0.9713   3.6116   4.6528   7.198   11.053   9.589   8.290   7.391   6.515   5.586   4.900   4.762   3.02253795   0
   0.042375   8.8000   0.70699227   0.7070   -0.9485   3.6165   4.6539   7.141   10.947   9.471   8.178   7.289   6.452   5.542   4.858   4.728   3.02642703   1
   0.042375   8.8000   0.73571622   0.7357   -0.8575   3.6373   4.6635   6.914   10.453   8.986   7.732   6.887   6.202   5.374   4.718   4.610   3.04165030   1
   0.042375   8.8000   0.75000000   0.7500   -0.8137   3.6478   4.6701   6.804   10.160   8.743   7.520   6.701   6.084   5.295   4.663   4.565   3.04879928   1
   0.042375   8.8000   0.80000001   0.8000   -0.6911   3.6645   4.6421   6.498   9.500   8.221   7.065   6.300   5.766   5.038   4.456   4.368   3.07187057   1
