#   Isochrone  Z = 0.00134   Y = 0.25084   [M/H] = -1.063   eta_R = 0.200   Age =    7.0795e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.001340   7.8500   0.09000000   0.0900   -2.5187   3.5015   4.8688   11.067   16.733   14.923   13.128   11.815   10.488   9.225   8.693   8.465   1.46765435   0
   0.001340   7.8500   0.09432258   0.0943   -2.4856   3.5053   4.8713   10.984   16.528   14.756   12.980   11.689   10.397   9.154   8.617   8.389   1.51332808   0
   0.001340   7.8500   0.10000000   0.1000   -2.4417   3.5107   4.8744   10.874   16.245   14.530   12.778   11.520   10.277   9.060   8.517   8.289   1.57040203   0
   0.001340   7.8500   0.10455928   0.1046   -2.4119   3.5139   4.8766   10.800   16.074   14.390   12.654   11.412   10.196   8.994   8.448   8.221   1.61395335   0
   0.001340   7.8500   0.11539795   0.1154   -2.3424   3.5214   4.8802   10.626   15.673   14.064   12.364   11.161   10.010   8.842   8.289   8.063   1.70992100   0
   0.001340   7.8500   0.12000000   0.1200   -2.3145   3.5246   4.8822   10.556   15.513   13.933   12.250   11.062   9.935   8.781   8.225   8.000   1.74782515   0
   0.001340   7.8500   0.12364421   0.1236   -2.2948   3.5266   4.8833   10.507   15.408   13.846   12.174   10.994   9.882   8.737   8.180   7.955   1.77676761   0
   0.001340   7.8500   0.14000000   0.1400   -2.2092   3.5351   4.8858   10.293   14.965   13.477   11.850   10.707   9.656   8.547   7.983   7.760   1.89584959   0
   0.001340   7.8500   0.14295599   0.1430   -2.1957   3.5363   4.8862   10.259   14.898   13.421   11.801   10.663   9.621   8.516   7.952   7.729   1.91564059   0
   0.001340   7.8500   0.16000000   0.1600   -2.1191   3.5431   4.8855   10.068   14.534   13.113   11.530   10.419   9.421   8.344   7.775   7.553   2.02115250   0
   0.001340   7.8500   0.18766338   0.1877   -2.0143   3.5519   4.8851   9.806   14.057   12.704   11.169   10.092   9.150   8.106   7.532   7.312   2.16579366   0
   0.001340   7.8500   0.20000000   0.2000   -1.9713   3.5554   4.8841   9.698   13.865   12.540   11.024   9.960   9.040   8.009   7.433   7.214   2.22178221   0
   0.001340   7.8500   0.24543579   0.2454   -1.8381   3.5658   4.8812   9.365   13.294   12.048   10.586   9.560   8.700   7.705   7.124   6.907   2.39330769   0
   0.001340   7.8500   0.25000000   0.2500   -1.8261   3.5667   4.8809   9.335   13.243   12.004   10.547   9.524   8.669   7.678   7.096   6.880   2.40809011   0
   0.001340   7.8500   0.25243106   0.2524   -1.8197   3.5672   4.8807   9.319   13.216   11.981   10.526   9.505   8.653   7.664   7.081   6.865   2.41581082   0
   0.001340   7.8500   0.30000001   0.3000   -1.7026   3.5761   4.8741   9.026   12.732   11.559   10.151   9.162   8.354   7.395   6.809   6.597   2.54750419   0
   0.001340   7.8500   0.34999999   0.3500   -1.5822   3.5855   4.8583   8.726   12.232   11.127   9.769   8.815   8.049   7.120   6.531   6.323   2.65552020   0
   0.001340   7.8500   0.40000001   0.4000   -1.4499   3.5972   4.8308   8.395   11.666   10.639   9.344   8.435   7.714   6.821   6.226   6.029   2.74133730   0
   0.001340   7.8500   0.44999999   0.4500   -1.2872   3.6169   4.7981   7.988   10.892   9.980   8.794   7.959   7.301   6.464   5.859   5.690   2.81098008   0
   0.001340   7.8500   0.45013925   0.4501   -1.2867   3.6170   4.7981   7.987   10.889   9.978   8.792   7.957   7.300   6.462   5.857   5.689   2.81115532   0
   0.001340   7.8500   0.49156421   0.4916   -1.1256   3.6437   4.7819   7.584   10.009   9.252   8.206   7.474   6.897   6.128   5.527   5.398   2.85948420   0
   0.001340   7.8500   0.50000000   0.5000   -1.0959   3.6491   4.7811   7.510   9.835   9.112   8.096   7.384   6.822   6.068   5.473   5.351   2.86847806   0
   0.001340   7.8500   0.51927644   0.5193   -1.0307   3.6626   4.7863   7.347   9.415   8.792   7.844   7.184   6.660   5.945   5.373   5.263   2.88804746   0
   0.001340   7.8500   0.54846382   0.5485   -0.9649   3.6749   4.7938   7.182   9.017   8.497   7.604   6.992   6.498   5.820   5.274   5.175   2.91527510   0
   0.001340   7.8500   0.55000001   0.5500   -0.9619   3.6754   4.7938   7.175   9.000   8.485   7.594   6.984   6.491   5.814   5.269   5.170   2.91663504   0
   0.001340   7.8500   0.56875938   0.5688   -0.9288   3.6799   4.7935   7.092   8.831   8.356   7.485   6.892   6.409   5.746   5.212   5.116   2.93269658   0
   0.001340   7.8500   0.60000002   0.6000   -0.8518   3.6900   4.7799   6.899   8.445   8.068   7.237   6.680   6.218   5.590   5.085   4.995   2.95739889   0
   0.001340   7.8500   0.60364652   0.6036   -0.8419   3.6914   4.7781   6.875   8.397   8.032   7.207   6.653   6.193   5.570   5.069   4.980   2.96012950   0
