#   Isochrone  Z = 0.02124   Y = 0.28667   [M/H] = 0.171   eta_R = 0.200   Age =    1.9953e+09 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.021238   9.3000   0.09148076   0.0915   -3.4129   3.3564   5.1900   13.302   25.839   22.288   20.246   17.399   14.695   11.101   10.514   10.160   1.48352957   0
   0.021238   9.3000   0.10296151   0.1030   -3.2332   3.3804   5.1575   12.853   23.946   20.864   18.932   16.393   13.893   10.707   10.120   9.769   1.59892321   0
   0.021238   9.3000   0.10536185   0.1054   -3.2022   3.3842   5.1518   12.775   23.638   20.631   18.716   16.226   13.759   10.638   10.051   9.700   1.62141192   1
   0.021238   9.3000   0.12296151   0.1230   -2.9939   3.4099   5.1131   12.255   21.586   19.073   17.271   15.106   12.858   10.177   9.588   9.243   1.77141464   1
   0.021238   9.3000   0.14296152   0.1430   -2.8139   3.4305   5.0810   11.805   19.924   17.795   16.081   14.177   12.102   9.774   9.186   8.846   1.91567707   1
   0.021238   9.3000   0.16592301   0.1659   -2.6574   3.4463   5.0527   11.414   18.759   16.852   15.209   13.469   11.514   9.417   8.827   8.496   2.05468392   1
   0.021238   9.3000   0.20740378   0.2074   -2.4455   3.4647   5.0111   10.884   17.417   15.735   14.152   12.589   10.787   8.930   8.337   8.019   2.25323844   1
   0.021238   9.3000   0.25740379   0.2574   -2.2496   3.4805   4.9722   10.394   16.337   14.807   13.272   11.839   10.161   8.476   7.879   7.576   2.43126392   1
   0.021238   9.3000   0.30740377   0.3074   -2.0887   3.4926   4.9366   9.992   15.550   14.108   12.596   11.247   9.673   8.104   7.501   7.211   2.56520677   1
   0.021238   9.3000   0.33720762   0.3372   -1.9918   3.4982   4.9026   9.750   15.138   13.739   12.246   10.934   9.398   7.874   7.268   6.985   2.63032246   1
   0.021238   9.3000   0.35740378   0.3574   -1.9331   3.5020   4.8844   9.603   14.888   13.511   12.030   10.741   9.231   7.735   7.127   6.848   2.66943765   0
   0.021238   9.3000   0.42171264   0.4217   -1.7410   3.5179   4.8275   9.122   14.039   12.727   11.282   10.078   8.674   7.294   6.670   6.410   2.77332163   0
   0.021238   9.3000   0.44999999   0.4500   -1.6660   3.5241   4.8056   8.935   13.730   12.433   11.003   9.827   8.462   7.122   6.491   6.238   2.81098008   0
   0.021238   9.3000   0.48734710   0.4873   -1.5535   3.5343   4.7684   8.654   13.274   11.991   10.584   9.453   8.144   6.865   6.223   5.981   2.85488796   1
   0.021238   9.3000   0.50000000   0.5000   -1.5174   3.5376   4.7566   8.563   13.132   11.852   10.451   9.334   8.043   6.782   6.137   5.899   2.86847806   1
   0.021238   9.3000   0.55000001   0.5500   -1.3621   3.5544   4.7100   8.175   12.522   11.228   9.850   8.794   7.603   6.437   5.775   5.555   2.91663504   1
   0.021238   9.3000   0.56024903   0.5602   -1.3284   3.5590   4.7026   8.091   12.384   11.082   9.706   8.666   7.506   6.366   5.699   5.484   2.92553210   1
   0.021238   9.3000   0.60000002   0.6000   -1.2038   3.5760   4.6757   7.779   11.895   10.551   9.180   8.191   7.154   6.102   5.421   5.227   2.95739889   1
   0.021238   9.3000   0.64999998   0.6500   -1.0438   3.6021   4.6553   7.380   11.247   9.837   8.500   7.573   6.712   5.770   5.076   4.921   2.99236870   1
   0.021238   9.3000   0.69999999   0.7000   -0.8890   3.6300   4.6442   6.993   10.551   9.109   7.848   6.989   6.298   5.451   4.772   4.657   3.02253795   1
   0.021238   9.3000   0.72339195   0.7234   -0.8158   3.6452   4.6461   6.810   10.103   8.727   7.525   6.710   6.106   5.309   4.656   4.559   3.03526211   1
   0.021238   9.3000   0.75000000   0.7500   -0.7353   3.6620   4.6483   6.608   9.536   8.302   7.177   6.423   5.893   5.156   4.550   4.465   3.04879928   1
   0.021238   9.3000   0.80000001   0.8000   -0.6036   3.6815   4.6227   6.279   8.754   7.729   6.698   6.025   5.553   4.887   4.346   4.270   3.07187057   1
   0.021238   9.3000   0.84457994   0.8445   -0.4898   3.6987   4.6011   5.994   8.108   7.260   6.306   5.700   5.267   4.660   4.170   4.102   3.09013605   1
   0.021238   9.3000   0.85000002   0.8500   -0.4763   3.7007   4.5985   5.961   8.033   7.206   6.261   5.662   5.234   4.633   4.149   4.082   3.09222293   1
   0.021238   9.3000   0.89999998   0.8999   -0.3540   3.7185   4.5723   5.655   7.387   6.739   5.867   5.329   4.934   4.391   3.958   3.898   3.11026096   1
   0.021238   9.3000   0.94383639   0.9438   -0.2503   3.7328   4.5464   5.396   6.879   6.366   5.551   5.055   4.684   4.187   3.791   3.737   3.12446642   1
   0.021238   9.3000   0.94999999   0.9499   -0.2361   3.7348   4.5428   5.360   6.810   6.316   5.508   5.018   4.651   4.159   3.768   3.715   3.12635612   1
   0.021238   9.3000   0.97820878   0.9781   -0.1709   3.7431   4.5239   5.197   6.511   6.091   5.317   4.851   4.497   4.030   3.660   3.610   3.13469338   1
   0.021238   9.3000   1.00000000   0.9999   -0.1215   3.7494   4.5091   5.074   6.291   5.923   5.175   4.725   4.381   3.933   3.578   3.531   3.14080405   1
