#   Isochrone  Z = 0.01340   Y = 0.27222   [M/H] = -0.043   eta_R = 0.200   Age =    3.5482e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.013400   7.5500   0.09000000   0.0900   -2.4265   3.4096   4.4091   10.836   19.237   17.245   15.622   13.568   11.368   8.782   8.212   7.820   1.46765435   0
   0.013400   7.5500   0.09434825   0.0943   -2.3952   3.4132   4.4127   10.758   18.997   17.043   15.424   13.410   11.238   8.712   8.140   7.752   1.51359344   0
   0.013400   7.5500   0.10000000   0.1000   -2.3551   3.4178   4.4165   10.658   18.686   16.782   15.170   13.206   11.071   8.622   8.047   7.664   1.57040203   0
   0.013400   7.5500   0.11283980   0.1128   -2.2732   3.4269   4.4233   10.453   18.068   16.264   14.663   12.799   10.737   8.437   7.859   7.483   1.68815517   0
   0.013400   7.5500   0.12000000   0.1200   -2.2312   3.4318   4.4276   10.348   17.752   15.996   14.404   12.591   10.567   8.342   7.762   7.391   1.74782515   0
   0.013400   7.5500   0.14000000   0.1400   -2.1257   3.4436   4.4361   10.084   17.027   15.372   13.809   12.106   10.165   8.101   7.518   7.159   1.89584959   0
   0.013400   7.5500   0.16000000   0.1600   -2.0373   3.4535   4.4453   9.863   16.439   14.859   13.315   11.702   9.836   7.902   7.314   6.966   2.02115250   0
   0.013400   7.5500   0.22687851   0.2269   -1.8105   3.4772   4.4651   9.296   15.107   13.668   12.158   10.737   9.058   7.386   6.787   6.470   2.32903504   0
   0.013400   7.5500   0.24716774   0.2472   -1.7555   3.4829   4.4701   9.159   14.807   13.392   11.887   10.506   8.878   7.262   6.660   6.351   2.39896154   0
   0.013400   7.5500   0.27053028   0.2705   -1.6991   3.4886   4.4755   9.018   14.511   13.116   11.611   10.270   8.695   7.136   6.531   6.229   2.46999288   0
   0.013400   7.5500   0.29861432   0.2986   -1.6365   3.4950   4.4816   8.861   14.198   12.824   11.330   10.028   8.500   6.995   6.384   6.091   2.54411817   0
   0.013400   7.5500   0.30000001   0.3000   -1.6334   3.4953   4.4818   8.854   14.183   12.810   11.317   10.016   8.491   6.988   6.377   6.084   2.54750419   0
   0.013400   7.5500   0.33606067   0.3361   -1.5613   3.5021   4.4863   8.673   13.849   12.495   11.016   9.755   8.274   6.823   6.206   5.923   2.62798834   0
   0.013400   7.5500   0.34999999   0.3500   -1.5363   3.5046   4.4889   8.611   13.735   12.386   10.912   9.664   8.199   6.766   6.147   5.867   2.65552020   0
   0.013400   7.5500   0.35553935   0.3555   -1.5261   3.5057   4.4897   8.585   13.687   12.341   10.870   9.627   8.169   6.743   6.123   5.844   2.66597700   0
   0.013400   7.5500   0.40000001   0.4000   -1.4478   3.5134   4.4935   8.390   13.340   12.008   10.551   9.347   7.938   6.565   5.937   5.668   2.74133730   0
   0.013400   7.5500   0.41266921   0.4127   -1.4260   3.5157   4.4944   8.335   13.243   11.915   10.461   9.268   7.873   6.515   5.886   5.620   2.76035142   0
   0.013400   7.5500   0.44999999   0.4500   -1.3668   3.5220   4.4980   8.187   12.985   11.663   10.218   9.053   7.700   6.382   5.747   5.488   2.81098008   0
   0.013400   7.5500   0.50000000   0.5000   -1.2860   3.5308   4.4980   7.985   12.643   11.323   9.890   8.762   7.466   6.202   5.558   5.309   2.86847806   0
   0.013400   7.5500   0.52459830   0.5246   -1.2481   3.5354   4.4993   7.890   12.481   11.161   9.733   8.623   7.357   6.119   5.471   5.226   2.89321828   0
   0.013400   7.5500   0.55000001   0.5500   -1.2066   3.5401   4.4975   7.787   12.308   10.988   9.567   8.475   7.239   6.027   5.375   5.135   2.91663504   0
   0.013400   7.5500   0.55513239   0.5551   -1.1989   3.5412   4.4982   7.767   12.275   10.953   9.533   8.444   7.216   6.011   5.357   5.119   2.92112780   0
   0.013400   7.5500   0.60000002   0.6000   -1.1149   3.5520   4.4912   7.557   11.926   10.594   9.184   8.132   6.978   5.830   5.166   4.939   2.95739889   0
   0.013400   7.5500   0.64876580   0.6488   -1.0162   3.5676   4.4886   7.310   11.500   10.147   8.746   7.739   6.697   5.626   4.949   4.740   2.99156713   0
   0.013400   7.5500   0.64999998   0.6500   -1.0130   3.5681   4.4883   7.303   11.487   10.133   8.733   7.727   6.688   5.620   4.942   4.734   2.99236870   0
   0.013400   7.5500   0.67280817   0.6728   -0.9532   3.5787   4.4858   7.153   11.225   9.855   8.464   7.485   6.521   5.500   4.812   4.618   3.00667000   0
   0.013400   7.5500   0.69999999   0.7000   -0.8750   3.5935   4.4841   6.958   10.879   9.487   8.121   7.176   6.307   5.343   4.640   4.471   3.02253795   0
   0.013400   7.5500   0.71807408   0.7181   -0.7993   3.6171   4.5140   6.768   10.440   9.020   7.722   6.832   6.095   5.206   4.503   4.372   3.03244019   0
