#   Isochrone  Z = 0.01340   Y = 0.27222   [M/H] = -0.043   eta_R = 0.200   Age =    1.0000e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.013400   8.0000   0.09000000   0.0900   -2.7468   3.4073   4.7203   11.637   20.710   18.348   16.618   14.454   12.196   9.567   8.988   8.627   1.46765435   0
   0.013400   8.0000   0.09563989   0.0956   -2.7006   3.4136   4.7258   11.522   20.274   18.001   16.283   14.194   11.989   9.467   8.885   8.527   1.52685440   0
   0.013400   8.0000   0.10000000   0.1000   -2.6645   3.4187   4.7293   11.431   19.924   17.723   16.017   13.988   11.826   9.389   8.805   8.450   1.57040203   0
   0.013400   8.0000   0.10826037   0.1083   -2.6077   3.4260   4.7362   11.289   19.410   17.312   15.621   13.679   11.578   9.264   8.677   8.326   1.64785826   0
   0.013400   8.0000   0.11950607   0.1195   -2.5327   3.4360   4.7441   11.102   18.759   16.781   15.118   13.284   11.260   9.098   8.508   8.164   1.74383116   0
   0.013400   8.0000   0.12000000   0.1200   -2.5295   3.4365   4.7445   11.094   18.732   16.759   15.097   13.267   11.247   9.091   8.501   8.157   1.74782515   0
   0.013400   8.0000   0.12843111   0.1284   -2.4841   3.4417   4.7495   10.980   18.398   16.477   14.832   13.054   11.072   8.989   8.397   8.057   1.81342530   0
   0.013400   8.0000   0.14000000   0.1400   -2.4238   3.4485   4.7539   10.830   17.965   16.112   14.486   12.774   10.844   8.853   8.259   7.924   1.89584959   0
   0.013400   8.0000   0.15537938   0.1554   -2.3514   3.4572   4.7617   10.648   17.434   15.664   14.053   12.427   10.572   8.693   8.095   7.768   1.99389482   0
   0.013400   8.0000   0.16000000   0.1600   -2.3311   3.4597   4.7640   10.598   17.284   15.538   13.931   12.329   10.495   8.648   8.049   7.725   2.02115250   0
   0.013400   8.0000   0.16039589   0.1604   -2.3294   3.4599   4.7642   10.594   17.273   15.528   13.922   12.321   10.489   8.644   8.045   7.721   2.02344275   0
   0.013400   8.0000   0.20000000   0.2000   -2.1783   3.4762   4.7741   10.216   16.325   14.706   13.134   11.671   9.972   8.303   7.699   7.391   2.22178221   0
   0.013400   8.0000   0.25000000   0.2500   -2.0274   3.4916   4.7817   9.838   15.465   13.942   12.389   11.041   9.484   7.965   7.354   7.063   2.40809011   0
   0.013400   8.0000   0.30000001   0.3000   -1.9036   3.5029   4.7822   9.529   14.854   13.389   11.863   10.587   9.112   7.681   7.065   6.786   2.54750419   0
   0.013400   8.0000   0.34999999   0.3500   -1.7873   3.5132   4.7741   9.238   14.314   12.894   11.393   10.174   8.773   7.414   6.792   6.525   2.65552020   0
   0.013400   8.0000   0.40000001   0.4000   -1.6695   3.5239   4.7570   8.944   13.790   12.406   10.928   9.762   8.436   7.146   6.516   6.260   2.74133730   0
   0.013400   8.0000   0.44999999   0.4500   -1.5441   3.5362   4.7320   8.630   13.250   11.892   10.438   9.325   8.082   6.863   6.224   5.981   2.81098008   0
   0.013400   8.0000   0.50000000   0.5000   -1.3987   3.5537   4.7024   8.267   12.624   11.278   9.851   8.800   7.672   6.545   5.894   5.667   2.86847806   0
   0.013400   8.0000   0.51051915   0.5105   -1.3599   3.5594   4.6956   8.170   12.452   11.104   9.684   8.650   7.562   6.463   5.808   5.587   2.87932444   0
   0.013400   8.0000   0.54048985   0.5405   -1.2523   3.5751   4.6757   7.901   11.991   10.636   9.233   8.242   7.264   6.238   5.572   5.368   2.90810370   0
   0.013400   8.0000   0.55000001   0.5500   -1.2168   3.5808   4.6705   7.812   11.837   10.479   9.083   8.106   7.167   6.164   5.494   5.298   2.91663504   0
   0.013400   8.0000   0.55287659   0.5529   -1.2051   3.5830   4.6698   7.783   11.783   10.424   9.032   8.060   7.135   6.141   5.469   5.276   2.91916251   0
   0.013400   8.0000   0.60000002   0.6000   -1.0476   3.6124   4.6653   7.389   11.074   9.691   8.373   7.469   6.712   5.817   5.131   4.986   2.95739889   0
   0.013400   8.0000   0.61768013   0.6177   -0.9977   3.6241   4.6748   7.264   10.810   9.427   8.151   7.276   6.578   5.719   5.038   4.910   2.97036314   0
   0.013400   8.0000   0.64010090   0.6401   -0.9628   3.6312   4.6837   7.177   10.627   9.251   8.002   7.147   6.485   5.648   4.975   4.856   2.98585439   0
   0.013400   8.0000   0.64999998   0.6500   -0.9480   3.6336   4.6854   7.140   10.550   9.181   7.944   7.097   6.447   5.617   4.946   4.832   2.99236870   0
   0.013400   8.0000   0.67536855   0.6754   -0.8905   3.6432   4.6830   6.996   10.243   8.910   7.717   6.901   6.299   5.499   4.839   4.738   3.00821710   0
   0.013400   8.0000   0.69059432   0.6906   -0.8532   3.6496   4.6809   6.903   10.027   8.731   7.569   6.775   6.202   5.423   4.776   4.681   3.01718640   0
   0.013400   8.0000   0.69999999   0.7000   -0.8254   3.6546   4.6789   6.833   9.843   8.592   7.456   6.683   6.130   5.368   4.734   4.644   3.02253795   0
   0.013400   8.0000   0.75000000   0.7500   -0.6811   3.6808   4.6693   6.473   8.873   7.897   6.890   6.227   5.755   5.087   4.536   4.461   3.04879928   0
   0.013400   8.0000   0.80000001   0.8000   -0.5525   3.7003   4.6469   6.151   8.146   7.372   6.451   5.863   5.433   4.830   4.338   4.271   3.07187057   0
   0.013400   8.0000   0.85000002   0.8500   -0.4310   3.7183   4.6238   5.847   7.501   6.907   6.059   5.533   5.137   4.592   4.151   4.092   3.09222293   0
   0.013400   8.0000   0.85519159   0.8552   -0.4187   3.7201   4.6213   5.817   7.437   6.861   6.021   5.500   5.108   4.568   4.132   4.073   3.09419632   1
   0.013400   8.0000   0.89999998   0.9000   -0.3162   3.7352   4.6014   5.560   6.925   6.492   5.710   5.231   4.863   4.370   3.974   3.921   3.11026096   1
   0.013400   8.0000   0.94999999   0.9500   -0.2076   3.7501   4.5757   5.289   6.417   6.114   5.393   4.954   4.610   4.162   3.802   3.755   3.12635612   1
   0.013400   8.0000   1.00000000   1.0000   -0.0994   3.7638   4.5447   5.019   5.967   5.761   5.092   4.685   4.360   3.950   3.621   3.579   3.14080405   1
   0.013400   8.0000   1.01398039   1.0140   -0.0700   3.7674   4.5355   4.945   5.848   5.666   5.011   4.612   4.292   3.892   3.572   3.530   3.14457989   1
   0.013400   8.0000   1.04999995   1.0500   -0.0016   3.7757   4.5156   4.774   5.571   5.444   4.825   4.446   4.141   3.763   3.461   3.424   3.15380883   0
   0.013400   8.0000   1.10000002   1.1000   0.0951   3.7867   4.4830   4.532   5.180   5.135   4.570   4.224   3.937   3.584   3.300   3.271   3.16554141   0
   0.013400   8.0000   1.11256707   1.1126   0.1250   3.7902   4.4720   4.457   5.057   5.039   4.492   4.157   3.875   3.530   3.252   3.225   3.16831160   1
   0.013400   8.0000   1.14999998   1.1500   0.1932   3.7977   4.4483   4.287   4.804   4.827   4.315   4.001   3.730   3.402   3.136   3.113   3.17617631   1
   0.013400   8.0000   1.20000005   1.2000   0.2832   3.8076   4.4163   4.062   4.505   4.554   4.082   3.788   3.533   3.228   2.981   2.961   3.18585706   1
   0.013400   8.0000   1.25000000   1.2500   0.3686   3.8173   4.3874   3.848   4.239   4.298   3.862   3.585   3.346   3.064   2.838   2.820   3.19470429   1
   0.013400   8.0000   1.34349096   1.3435   0.5164   3.8348   4.3410   3.479   3.797   3.858   3.480   3.239   3.028   2.786   2.594   2.579   3.20930171   1
   0.013400   8.0000   1.39349079   1.3935   0.5896   3.8448   4.3238   3.296   3.584   3.639   3.292   3.069   2.876   2.656   2.484   2.471   3.21620202   1
   0.013400   8.0000   1.44349098   1.4435   0.6578   3.8563   4.3167   3.126   3.386   3.430   3.115   2.915   2.742   2.548   2.398   2.386   3.22256231   1
   0.013400   8.0000   1.49349093   1.4935   0.7235   3.8694   4.3181   2.961   3.197   3.227   2.946   2.772   2.622   2.455   2.330   2.319   3.22844124   1
   0.013400   8.0000   1.54349089   1.5435   0.7864   3.8832   4.3247   2.804   3.021   3.033   2.786   2.639   2.513   2.376   2.275   2.265   3.23388982   1
   0.013400   8.0000   1.59349096   1.5935   0.8477   3.8966   4.3310   2.651   2.853   2.847   2.633   2.513   2.411   2.300   2.222   2.213   3.23895168   1
