#   Isochrone  Z = 0.00042   Y = 0.24900   [M/H] = -1.564   eta_R = 0.200   Age =    1.1221e+10 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.000424   10.0500   0.09000000   0.0900   -3.1866   3.4770   5.4388   12.736   20.145   17.375   15.372   13.659   12.064   10.770   10.482   10.384   1.46765435   1
   0.000424   10.0500   0.10000000   0.1000   -2.8816   3.5208   5.3548   11.974   17.467   15.547   13.726   12.447   11.293   10.159   9.706   9.565   1.57040203   1
   0.000424   10.0500   0.12000000   0.1200   -2.5944   3.5519   5.2711   11.256   15.681   14.199   12.603   11.492   10.570   9.543   9.025   8.862   1.74782515   1
   0.000424   10.0500   0.14000000   0.1400   -2.4127   3.5671   5.2172   10.802   14.767   13.471   11.987   10.946   10.115   9.138   8.600   8.426   1.89584959   1
   0.000424   10.0500   0.16000000   0.1600   -2.2708   3.5772   5.1736   10.447   14.135   12.948   11.536   10.541   9.759   8.814   8.266   8.085   2.02115250   1
   0.000424   10.0500   0.20000000   0.2000   -2.0499   3.5903   5.1020   9.895   13.238   12.190   10.868   9.935   9.205   8.302   7.743   7.557   2.22178221   1
   0.000424   10.0500   0.25000000   0.2500   -1.8459   3.6014   5.0392   9.385   12.468   11.521   10.268   9.387   8.694   7.824   7.261   7.074   2.40809011   1
   0.000424   10.0500   0.30000001   0.3000   -1.6902   3.6100   4.9973   8.996   11.890   11.014   9.814   8.970   8.302   7.458   6.893   6.711   2.54750419   1
   0.000424   10.0500   0.34999999   0.3500   -1.5641   3.6175   4.9680   8.680   11.425   10.604   9.445   8.632   7.985   7.163   6.598   6.422   2.65552020   1
   0.000424   10.0500   0.37389416   0.3739   -1.4954   3.6228   4.9494   8.508   11.147   10.366   9.235   8.445   7.813   7.005   6.440   6.271   2.69883251   1
   0.000424   10.0500   0.40000001   0.4000   -1.4248   3.6283   4.9301   8.332   10.863   10.122   9.020   8.253   7.636   6.844   6.279   6.116   2.74133730   1
   0.000424   10.0500   0.44999999   0.4500   -1.2544   3.6464   4.8831   7.906   10.102   9.489   8.477   7.780   7.210   6.467   5.913   5.772   2.81098008   1
   0.000424   10.0500   0.50000000   0.4999   -1.0634   3.6709   4.8360   7.429   9.176   8.755   7.856   7.249   6.738   6.063   5.545   5.427   2.86847806   1
   0.000424   10.0500   0.55000001   0.5499   -0.8537   3.6950   4.7639   6.904   8.234   8.020   7.218   6.687   6.225   5.622   5.155   5.056   2.91663504   1
