#   Isochrone  Z = 0.01340   Y = 0.27222   [M/H] = -0.043   eta_R = 0.200   Age =    2.8184e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.013400   8.4500   0.09000000   0.0900   -3.0964   3.3899   5.0004   12.511   23.084   20.105   18.217   15.751   13.310   10.389   9.806   9.474   1.46765435   0
   0.013400   8.4500   0.09269948   0.0927   -3.0701   3.3944   5.0048   12.445   22.771   19.867   17.992   15.582   13.180   10.334   9.750   9.419   1.49641442   0
   0.013400   8.4500   0.10000000   0.1000   -2.9981   3.4068   5.0154   12.265   21.902   19.206   17.368   15.115   12.820   10.185   9.596   9.268   1.57040203   0
   0.013400   8.4500   0.10783806   0.1078   -2.9293   3.4175   5.0220   12.093   21.134   18.620   16.816   14.698   12.494   10.039   9.447   9.121   1.64405191   0
   0.013400   8.4500   0.11881276   0.1188   -2.8357   3.4323   5.0296   11.859   20.091   17.821   16.066   14.132   12.053   9.842   9.244   8.921   1.73819542   0
   0.013400   8.4500   0.12000000   0.1200   -2.8263   3.4339   5.0309   11.836   19.995   17.745   15.995   14.077   12.011   9.822   9.224   8.901   1.74782515   0
   0.013400   8.4500   0.12046438   0.1205   -2.8234   3.4342   5.0311   11.828   19.971   17.725   15.977   14.063   11.999   9.815   9.217   8.895   1.75156450   0
   0.013400   8.4500   0.13280040   0.1328   -2.7446   3.4436   5.0323   11.632   19.341   17.211   15.499   13.684   11.692   9.640   9.039   8.721   1.84553599   0
   0.013400   8.4500   0.14000000   0.1400   -2.6972   3.4490   5.0294   11.513   18.974   16.911   15.219   13.461   11.512   9.534   8.932   8.616   1.89584959   0
   0.013400   8.4500   0.16000000   0.1600   -2.5821   3.4614   5.0220   11.225   18.129   16.221   14.562   12.935   11.098   9.277   8.671   8.362   2.02115250   0
   0.013400   8.4500   0.20000000   0.2000   -2.3865   3.4796   4.9958   10.736   16.921   15.202   13.596   12.136   10.457   8.832   8.222   7.925   2.22178221   0
   0.013400   8.4500   0.25000000   0.2500   -2.2008   3.4958   4.9719   10.272   15.910   14.326   12.751   11.415   9.886   8.408   7.795   7.512   2.40809011   0
   0.013400   8.4500   0.30000001   0.3000   -2.0429   3.5066   4.9364   9.877   15.191   13.687   12.145   10.881   9.435   8.038   7.422   7.149   2.54750419   0
