#   Isochrone  Z = 0.00134   Y = 0.25084   [M/H] = -1.063   eta_R = 0.200   Age =    1.4125e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.001340   7.1500   0.09000000   0.0900   -2.0055   3.5032   4.3625   9.784   15.044   13.446   11.736   10.490   9.220   7.964   7.415   7.153   1.46765435   0
   0.001340   7.1500   0.09562241   0.0956   -1.9687   3.5069   4.3668   9.692   14.855   13.284   11.588   10.360   9.121   7.882   7.330   7.069   1.52667606   0
   0.001340   7.1500   0.10000000   0.1000   -1.9415   3.5096   4.3700   9.624   14.712   13.162   11.477   10.263   9.046   7.821   7.266   7.007   1.57040203   0
   0.001340   7.1500   0.10097273   0.1010   -1.9358   3.5102   4.3706   9.609   14.684   13.137   11.455   10.243   9.031   7.808   7.253   6.994   1.57986724   0
   0.001340   7.1500   0.12000000   0.1200   -1.8296   3.5196   4.3773   9.344   14.184   12.701   11.057   9.884   8.748   7.568   7.004   6.751   1.74782515   0
   0.001340   7.1500   0.14000000   0.1400   -1.7328   3.5283   4.3823   9.102   13.731   12.308   10.704   9.566   8.492   7.349   6.776   6.530   1.89584959   0
   0.001340   7.1500   0.16938956   0.1694   -1.6164   3.5381   4.3876   8.811   13.223   11.861   10.301   9.198   8.188   7.084   6.503   6.262   2.07360816   0
   0.001340   7.1500   0.18742704   0.1874   -1.5542   3.5429   4.3887   8.656   12.963   11.630   10.093   9.006   8.027   6.941   6.356   6.118   2.16467547   0
   0.001340   7.1500   0.19962898   0.1996   -1.5170   3.5459   4.3909   8.562   12.806   11.492   9.967   8.891   7.931   6.856   6.268   6.032   2.22016358   0
   0.001340   7.1500   0.20339620   0.2034   -1.5056   3.5469   4.3913   8.534   12.758   11.449   9.929   8.856   7.901   6.831   6.241   6.006   2.23640871   0
   0.001340   7.1500   0.21475445   0.2148   -1.4718   3.5496   4.3920   8.449   12.616   11.323   9.816   8.752   7.814   6.754   6.162   5.928   2.28296518   0
   0.001340   7.1500   0.23500966   0.2350   -1.4161   3.5542   4.3938   8.310   12.384   11.118   9.631   8.583   7.671   6.627   6.031   5.800   2.35806251   0
   0.001340   7.1500   0.26069412   0.2607   -1.3529   3.5594   4.3967   8.152   12.119   10.884   9.421   8.391   7.509   6.484   5.883   5.655   2.44124556   0
   0.001340   7.1500   0.29235163   0.2924   -1.2832   3.5653   4.4002   7.978   11.832   10.631   9.194   8.183   7.331   6.326   5.721   5.496   2.52851629   0
   0.001340   7.1500   0.30000001   0.3000   -1.2673   3.5666   4.4008   7.938   11.766   10.573   9.142   8.135   7.291   6.290   5.683   5.460   2.54750419   0
   0.001340   7.1500   0.33015823   0.3302   -1.2086   3.5720   4.4055   7.791   11.515   10.353   8.946   7.958   7.141   6.159   5.547   5.328   2.61576986   0
   0.001340   7.1500   0.34999999   0.3500   -1.1731   3.5754   4.4087   7.703   11.362   10.219   8.829   7.852   7.050   6.079   5.465   5.248   2.65552020   0
   0.001340   7.1500   0.36281037   0.3628   -1.1511   3.5777   4.4114   7.648   11.263   10.134   8.755   7.786   6.993   6.030   5.415   5.200   2.67931175   0
   0.001340   7.1500   0.40000001   0.4000   -1.0900   3.5839   4.4177   7.495   10.993   9.901   8.552   7.605   6.838   5.893   5.274   5.065   2.74133730   0
   0.001340   7.1500   0.44999999   0.4500   -1.0113   3.5924   4.4242   7.298   10.639   9.596   8.289   7.372   6.638   5.718   5.093   4.894   2.81098008   0
   0.001340   7.1500   0.47058955   0.4706   -0.9776   3.5967   4.4270   7.214   10.478   9.458   8.173   7.271   6.552   5.645   5.016   4.823   2.83592749   0
   0.001340   7.1500   0.50000000   0.5000   -0.9344   3.6022   4.4322   7.106   10.271   9.281   8.025   7.143   6.441   5.550   4.917   4.733   2.86847806   0
   0.001340   7.1500   0.52202743   0.5220   -0.8970   3.6078   4.4358   7.012   10.077   9.117   7.891   7.030   6.345   5.469   4.832   4.658   2.89073253   0
   0.001340   7.1500   0.54987144   0.5499   -0.8461   3.6151   4.4369   6.885   9.819   8.897   7.712   6.878   6.217   5.360   4.718   4.557   2.91652131   0
   0.001340   7.1500   0.55000001   0.5500   -0.8459   3.6152   4.4368   6.885   9.817   8.896   7.711   6.878   6.216   5.359   4.718   4.556   2.91663504   0
   0.001340   7.1500   0.57783735   0.5778   -0.7907   3.6245   4.4404   6.747   9.513   8.643   7.508   6.709   6.077   5.244   4.600   4.454   2.94012618   0
   0.001340   7.1500   0.60000002   0.6000   -0.7435   3.6324   4.4411   6.629   9.252   8.429   7.335   6.567   5.959   5.145   4.504   4.369   2.95739889   0
   0.001340   7.1500   0.64774537   0.6477   -0.6321   3.6526   4.4439   6.350   8.570   7.894   6.911   6.224   5.677   4.922   4.311   4.198   2.99090195   0
   0.001340   7.1500   0.64999998   0.6500   -0.6286   3.6535   4.4455   6.341   8.542   7.874   6.896   6.212   5.669   4.916   4.307   4.194   2.99236870   0
   0.001340   7.1500   0.66961044   0.6696   -0.5824   3.6620   4.4462   6.226   8.249   7.658   6.722   6.073   5.552   4.826   4.237   4.132   3.00472188   0
   0.001340   7.1500   0.69999999   0.7000   -0.5035   3.6763   4.4440   6.029   7.775   7.312   6.438   5.844   5.355   4.675   4.122   4.027   3.02253795   0
   0.001340   7.1500   0.73292261   0.7329   -0.4053   3.6986   4.4549   5.783   7.133   6.872   6.081   5.558   5.112   4.509   4.023   3.939   3.04022050   0
   0.001340   7.1500   0.75000000   0.7500   -0.3530   3.7102   4.4589   5.653   6.826   6.656   5.906   5.415   4.988   4.422   3.967   3.890   3.04879928   0
   0.001340   7.1500   0.75517887   0.7552   -0.3380   3.7129   4.4578   5.615   6.751   6.600   5.860   5.375   4.953   4.395   3.947   3.871   3.05132651   0
   0.001340   7.1500   0.78314006   0.7831   -0.2530   3.7282   4.4495   5.403   6.339   6.290   5.604   5.154   4.757   4.244   3.832   3.764   3.06441092   0
   0.001340   7.1500   0.80000001   0.8000   -0.2005   3.7375   4.4434   5.271   6.103   6.106   5.452   5.021   4.637   4.150   3.759   3.695   3.07187057   0
   0.001340   7.1500   0.81048763   0.8105   -0.1679   3.7430   4.4386   5.190   5.963   5.995   5.360   4.940   4.565   4.092   3.713   3.652   3.07635283   0
   0.001340   7.1500   0.83866227   0.8387   -0.0780   3.7577   4.4226   4.965   5.595   5.693   5.112   4.720   4.368   3.933   3.583   3.530   3.08782578   0
   0.001340   7.1500   0.85000002   0.8500   -0.0413   3.7636   4.4151   4.873   5.454   5.572   5.012   4.631   4.289   3.869   3.529   3.480   3.09222293   0
