#   Isochrone  Z = 0.00013   Y = 0.24900   [M/H] = -2.064   eta_R = 0.200   Age =    6.3097e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.000134   8.8000   0.09577767   0.0958   -2.9132   3.5341   5.4209   12.053   17.143   15.297   13.545   12.332   11.308   10.255   9.909   9.807   1.52825892   0
   0.000134   8.8000   0.10221839   0.1022   -2.8036   3.5471   5.3914   11.779   16.394   14.769   13.124   11.979   11.048   10.029   9.633   9.516   1.59184861   0
   0.000134   8.8000   0.10800702   0.1080   -2.6984   3.5605   5.3638   11.516   15.678   14.256   12.721   11.642   10.796   9.813   9.376   9.248   1.64557660   0
   0.000134   8.8000   0.11155534   0.1116   -2.6289   3.5692   5.3433   11.342   15.222   13.926   12.463   11.428   10.628   9.670   9.209   9.075   1.67702913   0
   0.000134   8.8000   0.12289521   0.1229   -2.4973   3.5816   5.3030   11.013   14.533   13.393   12.024   11.053   10.304   9.383   8.893   8.751   1.77089310   1
   0.000134   8.8000   0.13155533   0.1316   -2.4035   3.5903   5.2737   10.779   14.054   13.021   11.717   10.791   10.073   9.177   8.672   8.521   1.83651268   1
   0.000134   8.8000   0.15155534   0.1516   -2.2512   3.6015   5.2277   10.398   13.393   12.480   11.248   10.379   9.694   8.832   8.313   8.154   1.97060776   1
   0.000134   8.8000   0.18311067   0.1831   -2.0779   3.6126   5.1809   9.965   12.704   11.900   10.734   9.916   9.261   8.433   7.907   7.742   2.14393187   1
   0.000134   8.8000   0.22888835   0.2289   -1.8831   3.6241   5.1292   9.478   11.969   11.271   10.166   9.400   8.774   7.980   7.454   7.289   2.33634281   1
   0.000134   8.8000   0.27888834   0.2789   -1.7143   3.6338   5.0851   9.056   11.349   10.736   9.679   8.954   8.351   7.586   7.065   6.903   2.49321747   1
   0.000134   8.8000   0.34999999   0.3500   -1.5188   3.6455   5.0346   8.567   10.638   10.123   9.119   8.438   7.861   7.130   6.620   6.466   2.65552020   1
   0.000134   8.8000   0.40000001   0.4000   -1.3796   3.6531   4.9840   8.219   10.149   9.698   8.727   8.073   7.514   6.805   6.302   6.154   2.74133730   1
   0.000134   8.8000   0.44999999   0.4500   -1.2435   3.6654   4.9481   7.879   9.591   9.242   8.322   7.709   7.177   6.502   6.015   5.878   2.81098008   1
   0.000134   8.8000   0.50000000   0.5000   -1.0928   3.6800   4.9019   7.502   8.965   8.736   7.877   7.309   6.807   6.173   5.707   5.584   2.86847806   1
   0.000134   8.8000   0.55000001   0.5500   -0.9335   3.6961   4.8483   7.104   8.319   8.211   7.418   6.893   6.422   5.832   5.391   5.282   2.91663504   1
   0.000134   8.8000   0.60000002   0.6000   -0.7696   3.7160   4.8016   6.694   7.641   7.662   6.950   6.473   6.037   5.499   5.090   4.997   2.95739889   1
   0.000134   8.8000   0.64999998   0.6500   -0.6095   3.7371   4.7608   6.294   7.006   7.136   6.504   6.072   5.673   5.188   4.811   4.735   2.99236870   1
   0.000134   8.8000   0.69999999   0.7000   -0.4558   3.7591   4.7274   5.909   6.432   6.644   6.089   5.700   5.337   4.904   4.560   4.499   3.02253795   1
   0.000134   8.8000   0.72270375   0.7227   -0.3888   3.7688   4.7129   5.742   6.198   6.437   5.912   5.540   5.193   4.781   4.451   4.398   3.03489923   1
   0.000134   8.8000   0.75000000   0.7500   -0.3117   3.7801   4.6972   5.549   5.942   6.205   5.712   5.361   5.030   4.640   4.324   4.280   3.04879928   1
   0.000134   8.8000   0.80000001   0.8000   -0.1783   3.7972   4.6600   5.216   5.513   5.800   5.376   5.066   4.767   4.408   4.108   4.083   3.07187057   1
