#   Isochrone  Z = 0.02124   Y = 0.28667   [M/H] = 0.171   eta_R = 0.200   Age =    1.2589e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.021238   7.1000   0.88360149   0.8836   -0.5055   3.6307   4.3645   6.034   9.602   8.127   6.880   6.034   5.350   4.495   3.799   3.692   3.10457563   0
   0.021238   7.1000   0.89999998   0.9000   -0.4837   3.6336   4.3624   5.979   9.492   8.033   6.797   5.959   5.294   4.449   3.758   3.655   3.11026096   0
   0.021238   7.1000   0.94999999   0.9500   -0.4228   3.6423   4.3597   5.827   9.168   7.762   6.560   5.748   5.135   4.321   3.650   3.554   3.12635612   0
   0.021238   7.1000   0.96766967   0.9677   -0.4029   3.6453   4.3598   5.777   9.050   7.671   6.481   5.679   5.082   4.280   3.618   3.524   3.13163686   0
   0.021238   7.1000   1.00000000   1.0000   -0.3582   3.6517   4.3552   5.665   8.790   7.471   6.309   5.530   4.965   4.187   3.545   3.455   3.14080405   0
   0.021238   7.1000   1.02624929   1.0262   -0.3233   3.6570   4.3527   5.578   8.573   7.313   6.175   5.416   4.873   4.115   3.491   3.404   3.14780188   0
   0.021238   7.1000   1.04999995   1.0500   -0.2857   3.6627   4.3475   5.484   8.343   7.145   6.033   5.297   4.774   4.038   3.433   3.349   3.15380883   0
   0.021238   7.1000   1.10000002   1.1000   -0.2089   3.6747   4.3392   5.292   7.867   6.803   5.748   5.062   4.575   3.882   3.317   3.239   3.16554141   0
   0.021238   7.1000   1.10592413   1.1059   -0.1998   3.6762   4.3382   5.270   7.811   6.763   5.715   5.035   4.552   3.864   3.304   3.227   3.16685581   0
   0.021238   7.1000   1.14999998   1.1500   -0.1244   3.6879   4.3269   5.081   7.366   6.442   5.448   4.814   4.359   3.713   3.189   3.118   3.17617631   0
   0.021238   7.1000   1.18353593   1.1835   -0.0647   3.6971   4.3165   4.932   7.026   6.198   5.244   4.645   4.210   3.594   3.098   3.031   3.18276691   0
   0.021238   7.1000   1.20000005   1.2000   -0.0329   3.7020   4.3100   4.852   6.849   6.071   5.138   4.556   4.131   3.531   3.050   2.985   3.18585706   0
   0.021238   7.1000   1.23051572   1.2305   0.0269   3.7109   4.2967   4.703   6.529   5.840   4.944   4.392   3.984   3.414   2.958   2.896   3.19134903   0
   0.021238   7.1000   1.25000000   1.2500   0.0672   3.7168   4.2868   4.602   6.321   5.690   4.817   4.283   3.885   3.335   2.895   2.835   3.19470429   0
   0.021238   7.1000   1.25227380   1.2523   0.0719   3.7174   4.2856   4.590   6.297   5.672   4.802   4.271   3.874   3.325   2.887   2.828   3.19508862   0
   0.021238   7.1000   1.28422189   1.2842   0.1427   3.7273   4.2651   4.413   5.948   5.416   4.586   4.083   3.703   3.185   2.774   2.719   3.20032740   0
   0.021238   7.1000   1.29999995   1.3000   0.1802   3.7323   4.2531   4.320   5.770   5.283   4.473   3.985   3.613   3.112   2.713   2.660   3.20280719   0
   0.021238   7.1000   1.32534683   1.3253   0.2436   3.7405   4.2307   4.161   5.479   5.063   4.286   3.821   3.462   2.986   2.608   2.558   3.20665097   0
   0.021238   7.1000   1.35000002   1.3500   0.3107   3.7488   4.2048   3.993   5.190   4.839   4.094   3.649   3.304   2.852   2.495   2.447   3.21023273   0
   0.021238   7.1000   1.37303162   1.3730   0.3790   3.7568   4.1759   3.823   4.910   4.615   3.903   3.478   3.144   2.715   2.377   2.332   3.21344733   0
   0.021238   7.1000   1.39458621   1.3946   0.4481   3.7647   4.1451   3.650   4.638   4.392   3.711   3.305   2.984   2.577   2.257   2.215   3.21634698   0
   0.021238   7.1000   1.39999998   1.4000   0.4661   3.7667   4.1370   3.605   4.568   4.334   3.662   3.260   2.942   2.541   2.226   2.185   3.21705914   0
   0.021238   7.1000   1.41633952   1.4163   0.5213   3.7731   4.1122   3.467   4.357   4.157   3.510   3.123   2.816   2.432   2.132   2.093   3.21917176   0
   0.021238   7.1000   1.43688321   1.4369   0.5908   3.7815   4.0825   3.293   4.085   3.930   3.321   2.955   2.663   2.301   2.019   1.984   3.22175050   0
   0.021238   7.1000   1.45000005   1.4500   0.6341   3.7871   4.0657   3.185   3.897   3.782   3.204   2.858   2.575   2.226   1.954   1.923   3.22335362   0
   0.021238   7.1000   1.46346354   1.4635   0.6777   3.7931   4.0501   3.076   3.713   3.634   3.087   2.759   2.487   2.152   1.891   1.863   3.22496533   0
   0.021238   7.1000   1.48788309   1.4879   0.7481   3.8047   4.0334   2.900   3.427   3.391   2.897   2.597   2.345   2.038   1.800   1.776   3.22780418   0
   0.021238   7.1000   1.50000000   1.5000   0.7775   3.8107   4.0314   2.826   3.313   3.288   2.817   2.529   2.287   1.994   1.768   1.747   3.22917390   0
   0.021238   7.1000   1.50559366   1.5056   0.7911   3.8136   4.0310   2.792   3.262   3.241   2.780   2.498   2.260   1.975   1.755   1.734   3.22979784   0
   0.021238   7.1000   1.52101052   1.5210   0.8184   3.8215   4.0397   2.724   3.149   3.137   2.705   2.439   2.214   1.947   1.743   1.723   3.23149037   0
   0.021238   7.1000   1.53838575   1.5384   0.8297   3.8290   4.0634   2.696   3.081   3.077   2.672   2.419   2.207   1.958   1.768   1.749   3.23335195   0
   0.021238   7.1000   1.54999995   1.5500   0.8245   3.8324   4.0856   2.709   3.079   3.077   2.683   2.437   2.230   1.989   1.805   1.788   3.23456979   0
   0.021238   7.1000   1.55796051   1.5580   0.8202   3.8350   4.1022   2.720   3.079   3.079   2.692   2.452   2.249   2.013   1.834   1.817   3.23539281   0
   0.021238   7.1000   1.57550025   1.5755   0.7928   3.8371   4.1429   2.788   3.137   3.141   2.761   2.523   2.323   2.093   1.917   1.901   3.23717260   0
   0.021238   7.1000   1.58745337   1.5875   0.7695   3.8370   4.1691   2.846   3.194   3.202   2.820   2.582   2.382   2.151   1.974   1.958   3.23835993   0
   0.021238   7.1000   1.60000002   1.6000   0.7474   3.8361   4.1913   2.901   3.251   3.262   2.876   2.636   2.434   2.202   2.023   2.007   3.23958373   0
   0.021238   7.1000   1.61003602   1.6100   0.7314   3.8354   4.2072   2.941   3.293   3.305   2.917   2.676   2.472   2.238   2.058   2.041   3.24054646   0
   0.021238   7.1000   1.64551198   1.6455   0.7291   3.8357   4.2199   2.947   3.297   3.311   2.924   2.682   2.479   2.245   2.065   2.049   3.24383783   0
   0.021238   7.1000   1.64999998   1.6500   0.7353   3.8363   4.2174   2.932   3.280   3.293   2.907   2.667   2.465   2.233   2.054   2.038   3.24424219   0
