#   Isochrone  Z = 0.00424   Y = 0.25643   [M/H] = -0.558   eta_R = 0.200   Age =    5.0120e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.004237   8.7000   1.25711131   1.2570   0.5826   3.8686   4.3811   3.313   3.530   3.611   3.341   3.165   3.003   2.825   2.688   2.678   3.19590116   1
   0.004237   8.7000   1.28215539   1.2821   0.6224   3.8770   4.3833   3.214   3.424   3.489   3.239   3.078   2.931   2.772   2.649   2.641   3.19999743   1
   0.004237   8.7000   1.30711126   1.3070   0.6614   3.8851   4.3854   3.116   3.321   3.370   3.138   2.994   2.861   2.719   2.612   2.604   3.20390272   1
   0.004237   8.7000   1.35166371   1.3516   0.7291   3.8998   4.3912   2.947   3.143   3.166   2.967   2.851   2.746   2.634   2.552   2.545   3.21046925   1
   0.004237   8.7000   1.35711133   1.3570   0.7372   3.9016   4.3918   2.927   3.122   3.142   2.947   2.834   2.732   2.624   2.545   2.538   3.21123862   1
   0.004237   8.7000   1.40711129   1.4070   0.8099   3.9172   4.3972   2.745   2.934   2.930   2.771   2.689   2.615   2.535   2.480   2.473   3.21798539   1
   0.004237   8.7000   1.43979561   1.4397   0.8565   3.9269   4.3993   2.629   2.815   2.799   2.665   2.601   2.541   2.478   2.436   2.430   3.22210932   1
   0.004237   8.7000   1.45711136   1.4570   0.8808   3.9319   4.4001   2.568   2.754   2.734   2.612   2.556   2.504   2.449   2.413   2.407   3.22420931   1
   0.004237   8.7000   1.50711131   1.5070   0.9484   3.9451   4.4002   2.399   2.585   2.563   2.472   2.437   2.402   2.367   2.344   2.339   3.22996616   1
   0.004237   8.7000   1.55711126   1.5571   1.0133   3.9570   4.3969   2.237   2.423   2.411   2.344   2.323   2.302   2.284   2.271   2.268   3.23530531   1
   0.004237   8.7000   1.58905303   1.5890   1.0534   3.9638   4.3930   2.136   2.324   2.320   2.266   2.252   2.239   2.230   2.222   2.220   3.23851728   1
   0.004237   8.7000   1.60711133   1.6071   1.0759   3.9676   4.3904   2.080   2.268   2.271   2.223   2.213   2.204   2.199   2.194   2.193   3.24026752   1
   0.004237   8.7000   1.64229250   1.6423   1.1188   3.9744   4.3844   1.973   2.163   2.177   2.142   2.138   2.135   2.139   2.138   2.139   3.24354601   1
   0.004237   8.7000   1.65711129   1.6571   1.1368   3.9772   4.3813   1.928   2.119   2.138   2.108   2.106   2.105   2.113   2.114   2.115   3.24487758   1
   0.004237   8.7000   1.69094062   1.6909   1.1774   3.9832   4.3737   1.827   2.019   2.052   2.031   2.034   2.038   2.054   2.058   2.060   3.24781346   1
   0.004237   8.7000   1.70711136   1.7071   1.1967   3.9860   4.3697   1.778   1.972   2.011   1.995   2.000   2.006   2.025   2.030   2.033   3.24916816   1
   0.004237   8.7000   1.75711131   1.7571   1.2553   3.9941   4.3561   1.632   1.828   1.887   1.884   1.894   1.906   1.934   1.943   1.949   3.25316954   1
   0.004237   8.7000   1.79632258   1.7963   1.3004   4.0001   4.3444   1.519   1.717   1.793   1.798   1.811   1.828   1.862   1.875   1.882   3.25612283   1
   0.004237   8.7000   1.80711126   1.8071   1.3127   4.0016   4.3408   1.488   1.686   1.767   1.774   1.789   1.806   1.842   1.855   1.863   3.25690866   1
   0.004237   8.7000   1.85655391   1.8566   1.3688   4.0085   4.3239   1.348   1.548   1.649   1.667   1.685   1.705   1.750   1.766   1.775   3.26037169   1
